"","site","long","lat","location","dataSet"
"1",49,19.12,68.37,"Europe>Northern Europe>Scandinavia>Sweden","850Lake.Shemesh.2001"
"2",50,19.12,68.37,"Europe>Northern Europe>Scandinavia>Sweden","850Lake.Shemesh.2001"
"3",51,19.12,68.37,"Europe>Northern Europe>Scandinavia>Sweden","850Lake.Shemesh.2001"
"4",52,19.12,68.37,"Europe>Northern Europe>Scandinavia>Sweden","850Lake.Shemesh.2001"
"5",53,19.12,68.37,"Europe>Northern Europe>Scandinavia>Sweden","850Lake.Shemesh.2001"
"6",54,19.12,68.37,"Europe>Northern Europe>Scandinavia>Sweden","850Lake.Shemesh.2001"
"7",55,19.12,68.37,"Europe>Northern Europe>Scandinavia>Sweden","850Lake.Shemesh.2001"
"8",56,19.12,68.37,"Europe>Northern Europe>Scandinavia>Sweden","850Lake.Shemesh.2001"
"9",105,13.42,55.83,"Europe>Northern Europe>Scandinavia>Sweden","AgeroedsMosse.Nilsson.1964"
"10",106,13.42,55.83,"Europe>Northern Europe>Scandinavia>Sweden","AgeroedsMosse.Nilsson.1964"
"11",107,13.42,55.83,"Europe>Northern Europe>Scandinavia>Sweden","AgeroedsMosse.Nilsson.1964"
"12",108,13.42,55.83,"Europe>Northern Europe>Scandinavia>Sweden","AgeroedsMosse.Nilsson.1964"
"13",109,13.42,55.83,"Europe>Northern Europe>Scandinavia>Sweden","AgeroedsMosse.Nilsson.1964"
"14",110,13.42,55.83,"Europe>Northern Europe>Scandinavia>Sweden","AgeroedsMosse.Nilsson.1964"
"15",111,13.42,55.83,"Europe>Northern Europe>Scandinavia>Sweden","AgeroedsMosse.Nilsson.1964"
"16",119,20.48,67.97,"Europe>Northern Europe>Scandinavia>Sweden","AlanenLaanijarvi.Heinrichs.2005"
"17",120,20.48,67.97,"Europe>Northern Europe>Scandinavia>Sweden","AlanenLaanijarvi.Heinrichs.2005"
"18",121,20.48,67.97,"Europe>Northern Europe>Scandinavia>Sweden","AlanenLaanijarvi.Heinrichs.2005"
"19",122,20.48,67.97,"Europe>Northern Europe>Scandinavia>Sweden","AlanenLaanijarvi.Heinrichs.2005"
"20",123,20.48,67.97,"Europe>Northern Europe>Scandinavia>Sweden","AlanenLaanijarvi.Heinrichs.2005"
"21",124,20.48,67.97,"Europe>Northern Europe>Scandinavia>Sweden","AlanenLaanijarvi.Heinrichs.2005"
"22",125,20.48,67.97,"Europe>Northern Europe>Scandinavia>Sweden","AlanenLaanijarvi.Heinrichs.2005"
"23",126,20.48,67.97,"Europe>Northern Europe>Scandinavia>Sweden","AlanenLaanijarvi.Heinrichs.2005"
"24",185,24.8,60.58,"Europe>Northern Europe>Scandinavia>Finland","Arapisto.Sarmaja-Korjonen.2007"
"25",186,24.8,60.58,"Europe>Northern Europe>Scandinavia>Finland","Arapisto.Sarmaja-Korjonen.2007"
"26",187,24.8,60.58,"Europe>Northern Europe>Scandinavia>Finland","Arapisto.Sarmaja-Korjonen.2007"
"27",194,17.2667,68.5333,"Europe>Northern Europe>Scandinavia>Norway","Austerkjosen.Seppa.2009"
"28",195,17.2667,68.5333,"Europe>Northern Europe>Scandinavia>Norway","Austerkjosen.Seppa.2009"
