"yearsBP","conMM","decMM","wetwMM","wetmMM","pasMM","araMM","heaMM","SPD","clim","conMMs","decMMs","wetwMMs","wetmMMs","pasMMs","araMMs","heaMMs"
9000,3196,2067,804,61,81,5,99,0.00494154701439289,-1.33172783922,3198.8,1685,566.75,65.375,75.6666666666667,6.4,76.6666666666667
8900,1328,1804,705,35,47,2,24,0.00610236782204804,-1.12885675919,2555,1702.2,660.25,64.375,75.3333333333333,5,68
8800,3696,2260,682,85,83,13,229,0.00628192536082522,-1.34145556561,2796.4,1903.4,684.5,62.125,70.3333333333333,5,117.333333333333
8700,3695,2568,1057,73,73,6,90,0.00560430075439038,-1.518478599,3172.8,2129.8,812,61.5,67.6666666666667,5.8,114.333333333333
8600,2701,2600,810,60,84,4,119,0.00575394806546034,-1.49264369422,2923.2,2259.8,813.5,59.125,80,6,146
8500,2917,3227,996,75,119,8,163,0.00788444019725348,-1.79263146861,2867.4,2491.8,886.25,61.875,92,6.6,124
8400,1778,2176,747,52,63,6,142,0.00719632929353819,-1.49917984011,2957.4,2566.2,902.5,65.375,88.6666666666667,7.4,141.333333333333
8300,3420,3752,978,101,144,5,202,0.000829145808833945,-1.23225066205,2902.2,2864.6,882.75,67.75,108.666666666667,5.8,169
8200,3596,3997,1020,91,109,10,144,0.000270202083111181,-1.61022324807,2882.4,3150.4,935.25,71.5,105.333333333333,6.6,162.666666666667
8100,3423,3840,1062,84,100,4,162,0.00413907431266806,-1.63756738332,3026.8,3398.4,951.75,77.625,117.666666666667,6.6,169.333333333333
8000,3103,3201,753,62,71,5,102,0.0040641501110346,-1.57430244936,3064,3393.2,953.25,74.75,93.3333333333333,6,136
7900,1614,2128,691,22,24,6,17,0.0182506009697241,-0.471949447788,3031.2,3383.6,881.5,68.375,65,6,93.6666666666667
7800,2310,3050,835,41,53,2,77,0.0142562368465575,-0.359384559879,2809.2,3243.2,835.25,66,49.3333333333333,5.4,65.3333333333333
7700,2862,4223,1406,60,59,4,80,0.0130468516981616,0.183292663978,2662.4,3288.4,921.25,64.125,45.3333333333333,4.2,58
7600,1379,1962,478,21,19,7,8,0.00983792762333354,0.199573096129,2253.6,2912.8,852.5,60.25,43.6666666666667,4.8,55
7500,3231,4630,1263,66,69,6,56,0.0109819645951527,-0.076158345702,2279.2,3198.6,995.5,55.875,49,5,48
7400,2110,3651,1001,49,77,8,66,0.00324127219686088,-0.231575606725,2378.4,3503.2,1037,50.625,55,5.4,43.3333333333333
7300,1801,2823,799,28,23,3,17,0.00453110089450805,-0.0658524641845,2276.6,3457.8,885.25,43.625,56.3333333333333,5.6,46.3333333333333
7200,2026,4073,764,60,80,6,64,0.0199418642415781,-0.00609890934255,2109.4,3427.8,956.75,43.375,60,6,49
7100,984,2378,700,28,9,7,16,0.0120177672482673,0.021962528452,2030.4,3511,816,44.125,37.3333333333333,6,32.3333333333333
7000,2602,4262,823,50,68,3,65,0.0116784130013322,0.533020445295,1904.6,3437.4,771.5,45.25,52.3333333333333,5.4,48.3333333333333
6900,2397,3961,733,66,52,7,32,0.00893603819197359,0.167513049574,1962,3499.4,755,46,43,5.2,37.6666666666667
6800,1783,3247,518,20,21,1,11,0.00976606317720316,-0.0407457858089,1958.4,3584.2,693.5,45.875,47,4.8,36
6700,1927,3090,794,66,59,3,83,0.0115250746177271,0.576399824184,1938.6,3387.6,717,45.875,44,4.2,42
6600,2095,3645,907,38,57,5,42,0.0165778888925529,0.472801614426,2160.8,3641,738,44.5,45.6666666666667,3.8,45.3333333333333
6500,1808,2784,690,41,33,2,35,0.0176556639475802,0.589571014062,2002,3345.4,727.25,46.125,49.6666666666667,3.6,53.3333333333333
6400,2235,2991,547,45,61,3,65,0.0123001381666488,0.807114266389,1969.6,3151.4,734.5,44.25,50.3333333333333,2.8,47.3333333333333
6300,1966,4021,751,27,29,5,25,0.012616108505525,0.451045327967,2006.2,3306.2,723.75,44.125,41,3.6,41.6666666666667
6200,1364,2751,490,30,33,5,31,0.0246114757977164,0.0899247310582,1893.6,3238.4,619.5,41.625,41,4,40.3333333333333
6100,2065,3053,476,36,61,3,70,0.0211226158694251,0.50096337287,1887.6,3120,566,37.875,41,3.6,42
6000,1244,2500,519,23,24,5,18,0.0207024329513403,1.55779929381,1774.8,3063.2,559,38.25,39.3333333333333,4.2,39.6666666666667
5900,2810,4321,848,64,40,13,56,0.0276657935414934,1.96607468692,1889.8,3329.2,583.25,38,41.6666666666667,6.2,48
5800,2425,3708,599,65,74,8,69,0.0208380732334571,1.38653980781,1981.6,3266.6,610.5,41.375,46,6.8,47.6666666666667
5700,1458,2543,501,39,40,5,35,0.0235836967680849,1.18770462646,2000.4,3225,616.75,41.125,51.3333333333333,6.8,53.3333333333333
5600,3284,4716,945,63,67,9,63,0.0227515282564877,0.750673374094,2244.2,3557.6,723.25,43.375,60.3333333333333,8,55.6666666666667
5500,3145,4134,713,43,46,13,38,0.0204195263123744,0.930355438056,2624.4,3884.4,689.5,45.375,51,9.6,45.3333333333333
5400,2053,2770,390,32,41,3,33,0.00990502481432169,0.705210822826,2473,3574.2,637.25,45.625,51.3333333333333,7.6,44.6666666666667
5300,2933,4028,623,53,71,10,104,0.00953678466906759,0.629561814273,2574.6,3638.2,667.75,47.75,52.6666666666667,8,58.3333333333333
5200,2922,4135,643,46,35,6,66,0.019839663889543,0.643869867016,2867.4,3956.6,592.25,50.625,49,8.2,67.6666666666667
5100,3101,4433,811,45,48,5,66,0.0200143305633808,0.800152292072,2830.8,3900,616.75,48.25,51.3333333333333,7.4,78.6666666666667
5000,3187,3621,611,72,72,5,131,0.0201920687468241,1.00423943562,2839.2,3797.4,672,49.125,51.6666666666667,5.8,87.6666666666667
4900,2437,2735,390,25,14,2,24,0.0299519922547222,0.92569126536,2916,3790.4,613.75,47.375,44.6666666666667,5.6,73.6666666666667
4800,2079,2839,521,51,46,9,54,0.0299512707038206,1.14406955423,2745.2,3552.6,583.25,45.875,44,5.4,69.6666666666667
4700,2821,3542,565,40,51,4,79,0.0215350296716837,1.50192229509,2725,3434,521.75,45.5,37,5,52.3333333333333
4600,3452,4014,655,59,66,4,48,0.0207456248615014,1.69647915454,2795.2,3350.2,532.75,48.875,54.3333333333333,4.8,60.3333333333333
4500,1893,2170,300,21,18,3,22,0.0213598609025645,1.13870943504,2536.4,3060,510.25,44.875,45,4.4,49.6666666666667
4400,3345,3803,670,49,55,5,96,0.0133351223081813,1.42970555594,2718,3273.6,547.5,45.25,46.3333333333333,5,55.3333333333333
4300,2359,3343,474,60,52,7,64,0.014472923079894,0.832283065862,2774,3374.4,524.75,47.125,41.6666666666667,4.6,60.6666666666667
4200,3102,2969,504,28,22,4,36,0.0175769221759519,0.946767395703,2830.2,3259.8,487,41.625,43,4.6,65.3333333333333
4100,5108,4514,801,106,98,9,137,0.0159622387367713,0.95979330649,3161.4,3359.8,612.25,51.75,57.3333333333333,5.6,79
4000,3973,3804,571,52,55,4,40,0.0134922857896518,1.31184485593,3577.4,3686.6,587.5,51.875,58.3333333333333,5.8,71
3900,4490,4442,622,71,89,7,128,0.0127414326675369,1.7654450172,3806.4,3814.4,624.5,55.75,80.6666666666667,6.2,101.666666666667
3800,5298,5284,810,62,69,14,78,0.0120272198999638,0.78069654553,4394.2,4202.6,701,56.125,71,7.6,82
3700,7413,5903,876,81,92,14,89,0.0139312134669195,1.32575054696,5256.4,4789.4,719.75,63.625,83.3333333333333,9.6,98.3333333333333
