"yearsBP","conMW","decMW","wetwMW","wetmMW","pasMW","araMW","heaMW","SPD","clim","conMWs","decMWs","wetwMWs","wetmMWs","pasMWs","araMWs","heaMWs"
9000,1222,1019,180,64,93,23,179,0.00863633522600947,0.137820766339,801,871.142857142857,141.6,65,141,8.875,182.75
8900,485,810,129,36,128,4,139,0.00954189349021869,0.369234643123,746.25,898,141.4,62.375,110.5,9.125,176.125
8800,757,672,204,86,49,1,124,0.00942361334843759,0.124330884985,805.5,881.142857142857,159.2,67.5,88.5,8.375,179.5
8700,918,1351,175,87,187,8,202,0.00867320956298699,0.0657963768521,863.5,951.285714285714,172.2,67.375,118,8.25,183.25
8600,926,958,174,112,126,1,152,0.00705621835570299,0.18848581744,849.25,931.142857142857,172.4,72.875,156.5,7.875,181.375
8500,555,701,342,77,43,1,95,0.0158664291282253,-0.150917540127,813.875,966.571428571429,204.8,74.25,84.5,6.375,165.375
8400,324,206,11,8,48,0,28,0.0172664128701778,0.14362841983,797.75,816.714285714286,181.2,72,45.5,6,149
8300,959,831,434,100,116,3,200,0.00836142243236807,0.36133237846,768.25,789.857142857143,227.2,71.25,82,5.125,139.875
8200,593,539,433,46,32,1,96,0.00753249166091292,0.00415688336185,689.625,751.142857142857,278.8,69,74,2.375,129.5
8100,1132,921,239,68,80,2,130,0.00249540776675514,0.118606024626,770.5,786.714285714286,291.8,73,56,2.125,128.375
8000,791,464,350,69,73,0,99,0.00270294515321807,0.0239496059573,774.75,660,293.4,70.875,76.5,2,125.25
7900,655,915,549,88,87,2,101,0.00366503977757405,1.52840553542,741.875,653.857142857143,401,71,80,1.25,112.625
7800,962,851,362,97,60,4,207,0.0151229297240699,1.47494088972,746.375,675.285714285714,386.6,69.125,73.5,1.625,119.5
7700,691,439,311,59,39,2,123,0.022942651214167,2.12937581327,763.375,708.571428571429,362.2,66.875,49.5,1.75,123
7600,681,969,541,72,100,5,122,0.0178593958472747,2.17002471368,808,728.285714285714,422.6,74.875,69.5,2.375,134.75
7500,392,537,193,39,42,1,39,0.00360076851600782,1.91833295278,737.125,728,391.2,67.25,71,2.125,114.625
7400,703,855,578,69,99,4,148,0.00140623206277439,1.69573606928,750.875,718.571428571429,397,70.125,70.5,2.5,121.125
7300,563,825,407,92,38,4,83,0.0140057406517499,1.87870918864,679.75,770.142857142857,406,73.125,68.5,2.75,115.25
7200,584,872,474,78,102,1,126,0.00410824031111522,1.96451534076,653.875,764,438.6,74.25,70,2.875,118.625
7100,496,693,388,58,43,5,50,0.00684536314764795,2.13760476784,634,741.428571428571,408,70.5,72.5,3.25,112.25
7000,505,620,180,23,36,0,183,0.00716083552473083,2.55904118394,576.875,767.285714285714,405.4,61.25,39.5,2.75,109.25
6900,864,1538,722,116,159,5,195,0.00418236848218751,2.23435247564,598.5,848.571428571429,434.2,68.375,97.5,3.125,118.25
6800,155,274,82,7,4,0,9,0.00246054944977814,2.02388894918,532.75,811,369.2,60.25,81.5,2.5,104.125
6700,780,803,289,102,86,4,133,0.00779555929283718,3.06990397613,581.25,803.571428571429,332.2,68.125,45,2.875,115.875
6600,603,1087,352,58,91,2,117,0.0182987510243136,3.02352299372,568.75,841,325,66.75,88.5,2.625,112
6500,721,1404,589,102,125,0,155,0.00986922412697101,3.19099314015,588.5,917,406.8,68,108,2.125,121
6400,947,1833,665,167,161,7,215,0.00740058587885387,3.30231822288,633.875,1079.85714285714,395.4,79.125,143,2.875,132.125
6300,431,876,252,54,64,3,70,0.0182370711956106,2.69862884413,625.75,1116.42857142857,429.4,78.625,112.5,2.625,134.625
6200,763,1452,396,122,125,1,98,0.0178076586560039,2.24367399154,658,1104.14285714286,450.8,91,94.5,2.75,124
6100,558,710,239,104,47,1,50,0.0161951775257933,2.77600458625,619.75,1166.42857142857,428.2,89.5,86,2.25,105.875
6000,468,921,169,89,124,2,127,0.0149139611832174,4.2065477789,658.875,1183.28571428571,344.2,99.75,85.5,2.5,120.625
5900,1029,1249,406,116,114,1,94,0.00978762537059225,4.98480630872,690,1206.42857142857,292.4,101.5,119,2.125,115.75
5800,898,1094,355,128,129,3,177,0.00897775044112315,4.3340549754,726.875,1162.14285714286,313,110.25,121.5,2.25,123.25
5700,290,646,207,65,117,6,59,0.00953125822388071,3.91431423554,673,992.571428571429,275.2,105.625,123,3,111.25
5600,859,1060,292,154,163,3,199,0.0113036979197702,3.31790254752,662,1018.85714285714,285.8,104,140,2.5,109.25
5500,757,755,244,109,58,2,61,0.00677751108630705,3.46407948382,702.75,919.285714285714,300.8,110.875,110.5,2.375,108.125
5400,312,447,107,65,88,1,41,0.00988832762870109,3.07027472956,646.375,881.714285714286,241,103.75,73,2.375,101
5300,640,849,205,100,112,4,192,0.00971444779578844,2.90350909349,656.625,871.428571428571,211,103.25,100,2.75,118.75
5200,501,650,217,84,83,0,43,0.0090171945741553,2.93799494507,660.75,785.857142857143,213,102.625,97.5,2.5,108.25
5100,1003,1027,215,113,133,6,284,0.00975314771131062,3.24140666459,657.5,776.285714285714,197.6,102.25,108,3.125,132
5000,784,608,214,90,64,1,76,0.0101076290366109,3.51300484161,643.25,770.857142857143,191.6,97.5,98.5,2.875,119.375
4900,819,1080,340,154,208,6,177,0.0150103548049006,3.3609057881,709.375,773.714285714286,238.2,108.625,136,2.875,134.125
4800,579,378,75,54,52,2,54,0.0147582157859355,3.89094822601,674.375,719.857142857143,212.2,96.125,130,2.75,116
4700,413,611,236,101,161,3,63,0.0126311170054886,4.29549058095,631.375,743.285714285714,216,95.125,106.5,2.875,116.25
4600,964,880,233,136,103,2,158,0.0115256656808197,4.59160581833,712.875,747.714285714286,219.6,104,132,3,130.875
4500,445,470,84,61,72,1,135,0.0153461475730063,3.82511892683,688.5,722,193.6,99.125,87.5,2.625,123.75
4400,753,802,241,142,137,3,158,0.0131241504379625,4.09037141915,720,689.857142857143,173.8,106.375,104.5,3,138.125
4300,616,401,53,78,81,1,167,0.014946428839205,3.23345148746,671.625,660.285714285714,169.4,102,109,2.375,123.5
4200,783,639,213,120,172,6,136,0.0136459324716627,3.48998909773,671.5,597.285714285714,164.8,105.75,126.5,3,131
4100,1251,1046,340,170,209,2,172,0.0202356125012592,3.42655313702,725.5,692.714285714286,186.2,107.75,190.5,2.5,130.375
4000,1038,924,243,237,212,1,178,0.0288977141877383,4.14134425787,782.875,737.428571428571,218,130.625,210.5,2.375,145.875
3900,1058,961,300,162,137,0,206,0.0321942370758377,4.72723961709,863.5,749,229.8,138.25,174.5,2,163.75
3800,791,819,239,187,209,2,142,0.0251034123647679,3.33325887273,841.875,798.857142857143,267,144.625,173,2,161.75
3700,852,654,134,183,186,2,203,0.0223989408971163,3.92981354441,892.75,777.714285714286,251.2,159.875,197.5,2.125,170.25
3600,1419,1176,564,308,342,2,268,0.0145969614553419,4.00883149492,976,888.428571428571,296,180.625,264,2,184
3500,676,541,140,163,137,3,95,0.0145512063685927,3.94376959139,983.5,874.428571428571,275.4,191.25,239.5,2.25,175
3400,1134,985,351,283,312,5,236,0.0310666516152961,3.50894243815,1027.375,865.714285714286,285.6,211.625,224.5,2.125,187.5
3300,608,495,147,183,146,3,159,0.0271065503474147,3.66809590827,947,804.428571428571,267.2,213.25,229,2.25,185.875
3200,820,881,268,215,322,5,251,0.0212625358546974,3.851086174,919.75,793,294,210.5,234,2.75,195
3100,1020,716,239,158,129,4,131,0.017414053082473,4.43362071712,915,778.285714285714,229,210,225.5,3.25,185.625
3000,681,636,219,124,175,3,213,0.0141288182630184,4.99826030253,901.25,775.714285714286,244.8,202.125,152,3.375,194.5
2900,200,334,98,102,175,2,11,0.0240379592463194,4.81570140437,819.75,655.428571428571,194.2,192,175,3.375,170.5
2800,856,758,272,214,256,6,165,0.0471910423867746,4.45811851489,749.375,686.428571428571,219.2,180.25,215.5,3.875,157.625
2700,676,587,155,126,123,0,162,0.0480223248866729,4.05425143143,749.375,629.571428571429,196.6,175.625,189.5,3.5,166
2600,912,693,220,218,150,4,186,0.0574331430781724,3.1584736094,721.625,657.857142857143,192.8,167.5,136.5,3.375,159.75
2500,430,563,106,151,183,3,93,0.0591405845864932,3.44662035185,699.375,612.428571428571,170.2,163.5,166.5,3.375,151.5
2400,583,484,197,299,269,7,132,0.0572274743944713,3.0515464403,669.75,579.285714285714,190,174,226,3.625,136.625
2300,1197,917,298,246,292,9,243,0.064527685409312,3.1241358206,691.875,619.428571428571,195.2,185,280.5,4.25,150.625
2200,360,352,100,110,82,1,84,0.0487527769946116,3.42308115416,651.75,622,184.2,183.25,187,4,134.5
2100,818,621,225,213,189,6,181,0.0440626757080625,2.19027969384,729,602.428571428571,185.2,197.125,135.5,4.5,155.75
2000,854,932,201,185,426,9,203,0.0434021897602691,3.16646508872,728.75,651.714285714286,204.2,193.5,307.5,4.875,160.5
1900,611,488,126,188,144,1,117,0.0505661310716932,3.24304438275,720.625,622.428571428571,190,201.25,285,5,154.875
1800,982,664,344,196,369,5,374,0.0611991509428612,4.26779531765,729.375,636.857142857143,199.2,198.5,256.5,5.125,178.375
1700,607,531,127,187,223,5,137,0.0723681829940085,4.40002695038,751.5,643.571428571429,204.6,203,296,5.375,183.875
1600,705,517,201,218,173,5,207,0.0933822623042284,4.81953307797,766.75,586.428571428571,199.8,192.875,198,5.125,193.25
1500,695,668,156,167,245,10,198,0.10234578418003,4.28938721159,704,631.571428571429,190.8,183,209,5.25,187.625
1400,439,227,88,174,158,1,82,0.0970067596929624,2.92117426842,713.875,575.285714285714,183.2,191,201.5,5.25,187.375
1300,1218,895,355,243,618,12,420,0.110726587587756,3.67027722326,763.875,570,185.4,194.75,388,6,217.25
1200,688,509,137,195,487,6,177,0.0911375877785089,3.90453876898,743.125,573,187.4,196,552.5,5.625,214
1100,578,482,271,235,738,8,163,0.090060779149446,3.06857790289,739,547,201.4,201.875,612.5,6.5,219.75
1000,1018,807,210,240,449,8,269,0.121070011082707,3.5163751313,743.5,586.428571428571,212.2,207.375,593.5,6.875,206.625
900,670,451,136,221,431,11,196,0.126297764298784,3.4530861801,751.375,577,221.8,211.625,440,7.625,214
800,636,459,233,187,387,4,193,0.195451628115961,3.15760216563,742.75,547.142857142857,197.4,207.75,409,7.5,212.25
700,812,658,406,201,266,1,198,0.311908912293685,2.62082707275,757.375,608.714285714286,251.2,212,326.5,6.375,212.25
