"yearsBP","conSE","decSE","wetwSE","wetmSE","pasSE","araSE","heaSE","SPD","clim","conSEs","decSEs","wetwSEs","wetmSEs","pasSEs","araSEs","heaSEs"
9000,1703,2814,635,168,517,14,6,0.00500132382385769,-0.544984660302,2160.5,2446.25,506.25,325.75,310.5,14,21
8900,1080,2215,624,34,62,4,8,0.00481648629821418,-0.371049857803,1756.75,2540.75,565.875,326,289.5,4,20.25
8800,2401,3122,889,267,231,12,25,0.00482875265368701,-0.593811757306,1694.25,2686.5,616.125,343.5,146.5,12,20.875
8700,2012,3330,930,90,516,7,26,0.00492524471477712,-0.883774918138,1799,2870.25,690.125,263.25,373.5,7,19.75
8600,1638,2435,593,40,50,3,21,0.00523249789174618,-1.05493861239,1782.75,2775.5,699.75,178.75,283,3,18.25
8500,1895,2763,813,155,75,15,18,0.0072027093586989,-1.24637883823,1986.5,2912.5,731.875,179.875,62.5,15,19.125
8400,1461,2396,697,28,56,5,9,0.00802179566923395,-1.0703911513,1751.5,2731,732,168.75,65.5,5,18.125
8300,1628,2603,1105,110,98,14,23,0.0095244128246184,-0.853440247085,1655.5,2549.25,785.75,111.5,77,14,17
8200,2016,3952,1023,44,158,11,11,0.0088384292478837,-1.04746551781,1750,2928.5,834.25,96,128,11,17.625
8100,1528,2518,502,83,34,11,10,0.00837555493418671,-1.23846850097,1658.25,2867.25,819,102.125,96,11,17.875
8000,1659,2280,823,65,66,11,7,0.00838105703127126,-0.991120225452,1707.75,2838.25,810.75,76.875,50,11,15.625
7900,1045,1010,452,17,11,4,2,0.00586430412933272,-0.359731129329,1562,2440,751,67.75,38.5,4,12.625
7800,1225,1549,436,61,31,8,4,0.005396446613873,-0.0773111177256,1364.25,1839.25,731.375,70.375,21,8,10.5
7700,2009,3357,740,70,138,8,30,0.00471233139707818,0.218759448132,1484.5,2049,722.25,59.75,84.5,8,12
7600,1147,2929,617,95,59,5,6,0.00456230667810437,0.331832431993,1356.5,2211.25,712.25,68.125,98.5,5,11.625
7500,1429,2086,576,35,46,8,8,0.00526989667514724,0.0902570706716,1452.5,2480.25,646.125,58.75,52.5,8,9.75
7400,1389,1387,472,41,35,4,14,0.00554070103540826,0.0382406403274,1493.5,2439.75,577.25,58.375,40.5,4,10.125
7300,1375,2897,612,81,73,20,8,0.00642639014476465,-0.00342616516306,1335,2324.75,591,58.125,54,20,9.875
7200,793,2610,495,267,165,5,5,0.00671276913181678,0.142856551539,1246.5,2245,550,83.375,119,5,9.625
7100,1433,3243,852,108,57,15,20,0.00878593354443702,0.012004057626,1247.5,2534.25,600,94.75,111,15,11.875
7000,919,2584,451,29,51,4,6,0.00897085619528747,0.440557332389,1130,2833.5,601.875,90.75,54,4,12.125
6900,895,1748,293,22,43,3,31,0.0115068071508765,0.275191580459,1010,2546.25,546,84.75,47,3,12.25
6800,988,2957,624,54,50,11,79,0.0113029126255833,0.0531836334089,1058.75,2633,546.875,79.625,46.5,11,21.375
6700,1309,2681,641,32,100,6,32,0.00965298492721647,0.382962366983,1027.75,2492.5,555,79.25,75,6,24.375
6600,1569,3643,885,119,51,11,18,0.00924879289647768,0.314344716772,1190.25,2757.25,606.625,89,75.5,11,24.875
6500,541,1855,372,66,27,7,44,0.0111171743589566,0.414721112423,1101.75,2784,576.625,87.125,39,7,29.375
6400,1395,3407,625,44,44,7,22,0.012127950722992,0.581531001513,1203.5,2896.5,592.875,59.25,35.5,7,31.5
6300,1123,2708,713,120,51,12,8,0.0102099980121295,0.421510621992,1157,2903.25,575.5,60.75,47.5,12,30
6200,366,1577,416,12,36,4,44,0.0097390293654878,0.151230884335,856.25,2386.75,571.125,58.625,43.5,4,34.75
6100,1061,2080,327,50,43,7,30,0.0101515780706647,0.544026949847,986.25,2443,575.375,62.125,39.5,7,34.625
6000,1403,3463,693,61,55,11,20,0.0101659470607115,1.23681318525,988.25,2457,584,63,49,11,27.25
5900,562,1000,505,42,24,5,20,0.0101477660561775,1.39360329004,848,2030,567,64.25,39.5,5,25.75
5800,809,2691,407,20,41,6,34,0.0107416809350941,0.870121193127,958.75,2308.5,507.25,51.875,32.5,6,27.75
5700,934,2781,1158,30,65,7,33,0.0107635806124917,0.85699103365,927,2483.75,605.5,47.375,53,7,26.375
