"yearsBP","conSM","decSM","wetwSM","wetmSM","pasSM","araSM","heaSM","SPD","clim","conSMs","decSMs","wetwSMs","wetmSMs","pasSMs","araSMs","heaSMs"
9000,2461,3116,1318,17,180,9,17,0.0315902056497526,3.03080930693,1947.5,2424.16666666667,821,34,240.666666666667,13,39.5
8900,2487,3108,1331,29,192,4,32,0.0374562647475514,3.05110721158,1993,2710.5,1085.5,36,240.666666666667,6.5,24.5
8800,1834,3439,1714,43,244,9,24,0.038225495536744,2.94036242557,2066.25,2854,1339.5,33.8333333333333,229,6.5,28
8700,1734,2826,1302,27,206,10,32,0.0346590444500911,2.85657230074,2149,3039.5,1416.25,28.3333333333333,223.5,9.5,28
8600,1679,2222,811,18,174,8,21,0.0343483001062904,2.80901531419,2143.25,3017.33333333333,1289.5,27.5,216.166666666667,9,26.5
8500,1258,1427,625,18,81,3,26,0.0421940207894556,2.50599383617,2110,2689.66666666667,1113,25.3333333333333,179.5,5.5,23.5
8400,2062,3156,1307,46,208,12,41,0.0418395439144559,2.86279095274,2111.375,2696.33333333333,1011.25,30.1666666666667,184.166666666667,7.5,33.5
8300,1133,2081,867,27,156,3,14,0.0418642191200059,3.19558005425,1831,2525.16666666667,902.5,29.8333333333333,178.166666666667,7.5,27.5
8200,841,2318,1013,24,133,5,21,0.0606180598438105,2.79977080775,1628.5,2338.33333333333,953,26.6666666666667,159.666666666667,4,17.5
8100,1441,2128,1041,32,268,8,11,0.0682420553075852,2.78412534025,1497.75,2222,1057,27.5,170,6.5,16
8000,862,2333,1415,22,649,10,27,0.0678569130604933,2.75017365744,1376.25,2240.5,1084,28.1666666666667,249.166666666667,9,19
7900,944,2071,906,17,128,6,18,0.0871298018229269,3.94016538936,1277.5,2347.83333333333,1093.75,28,257,8,22.5
7800,1208,768,293,45,31,2,2,0.105519078935788,4.01253251459,1218.625,1949.83333333333,913.75,27.8333333333333,227.5,4,10
7700,1133,2034,770,82,72,8,32,0.101493833271581,4.4276238809,1203,1942,846,37,213.5,5,17
7600,470,1627,800,26,85,8,3,0.0952966918555369,4.54791843539,1004,1826.83333333333,692.25,37.3333333333333,205.5,8,17.5
7500,1007,2413,912,125,116,10,18,0.0758826707146461,4.40693500001,988.25,1874.33333333333,693.75,52.8333333333333,180.166666666667,9,10.5
7400,1599,3030,1136,333,94,15,34,0.0839626429572275,4.19959092767,1083,1990.5,904.5,104.666666666667,87.6666666666667,12.5,26
7300,752,3142,1531,20,158,11,10,0.0933476137769322,4.32853826294,996.875,2169,1094.75,105.166666666667,92.6666666666667,13,22
7200,864,3448,1533,27,191,8,28,0.0632511616724496,4.24126223548,997.125,2615.66666666667,1278,102.166666666667,119.333333333333,9.5,19
7100,447,1945,913,19,120,2,19,0.0588038908609143,4.46457337061,935,2600.83333333333,1278.25,91.6666666666667,127.333333333333,5,23.5
7000,282,2032,1154,17,97,9,129,0.05874095101969,4.98065104025,819.25,2668.33333333333,1282.75,90.1666666666667,129.333333333333,5.5,74
6900,1061,1199,527,17,81,5,105,0.0612316577915068,4.64351838042,810.25,2466,1031.75,72.1666666666667,123.5,7,117
6800,170,2117,980,5,98,2,170,0.0710869993217112,4.48891015366,772.75,2313.83333333333,893.5,17.5,124.166666666667,3.5,137.5
6700,420,2022,809,21,123,0,33,0.0811992867862291,5.00724129354,699.375,2127.16666666667,867.5,17.6666666666667,118.333333333333,1,101.5
6600,193,1677,885,12,85,5,95,0.0738490267649589,5.04214096892,523.625,1832,800.25,15.1666666666667,100.666666666667,2.5,64
6500,1107,2848,1432,21,147,13,261,0.071734079060781,5.11223431802,568,1982.5,1026.5,15.5,105.166666666667,9,178
6400,378,1845,1376,14,92,2,151,0.0749365704046029,5.20204954674,507.25,1951.33333333333,1125.5,15,104.333333333333,7.5,206
6300,592,2025,1934,26,151,8,339,0.0789740936856406,4.93205889874,525.375,2089,1406.75,16.5,116,5,245
