"yearsBP","conSW","decSW","wetwSW","wetmSW","pasSW","araSW","heaSW","SPD","clim","conSWs","decSWs","wetwSWs","wetmSWs","pasSWs","araSWs","heaSWs"
9000,1878,3200,641,86,308,8,165,0.0168851536862363,1.79808856201,1670,3191.5,325.8,113.666666666667,361.5,6,156
8900,1004,1499,280,68,212,3,179,0.00860750970558078,1.82429955037,1500.5,2349.5,377,96,260,5.5,172
8800,993,1699,256,64,171,3,186,0.00834711826251425,1.61649846056,1320.25,1599,392.4,72.6666666666667,191.5,3,182.5
8700,2028,3352,615,152,355,6,353,0.00749268750629348,1.6243236084,1475.75,2525.5,471.8,94.6666666666667,263,4.5,269.5
8600,1703,2207,515,133,421,9,331,0.00465416633017887,1.67694050768,1432,2779.5,461.4,116.333333333333,388,7.5,342
8500,1710,2734,756,99,311,8,333,0.00129434179406653,1.33213326009,1608.5,2470.5,484.4,128,366,8.5,332
8400,1235,1245,291,52,156,0,196,0.00425102362309887,1.69374794515,1669,1989.5,486.6,94.6666666666667,233.5,4,264.5
8300,1088,1948,545,72,239,5,198,0.0138359486548612,1.97931821696,1434,1596.5,544.4,74.3333333333333,197.5,2.5,197
8200,1462,2925,833,104,310,2,223,0.00651147973739423,1.53901919556,1373.75,2436.5,588,76,274.5,3.5,210.5
8100,1788,2102,606,102,313,3,251,0.0141753400277811,1.63801669312,1393.25,2513.5,606.2,92.6666666666667,311.5,2.5,237
8000,1158,2508,536,70,259,4,168,0.0143366473911817,1.56875050524,1374,2305,562.2,92,286,3.5,209.5
7900,1313,2333,818,63,173,4,150,0.0203518724934328,3.14808091566,1430.25,2420.5,667.6,78.3333333333333,216,4,159
7800,1592,2353,598,92,233,3,204,0.0165915700540482,3.07099790446,1462.75,2343,678.2,75,203,3.5,177
7700,1020,2084,673,63,119,2,110,0.0171308291103068,3.64847040473,1270.75,2218.5,646.2,72.6666666666667,176,2.5,157
7600,553,1285,429,49,170,3,67,0.0154044208225374,3.76321331109,1119.5,1684.5,610.8,68,144.5,2.5,88.5
7500,1153,1854,643,46,189,3,114,0.00248321486973078,3.6620255839,1079.5,1569.5,632.2,52.6666666666667,179.5,3,90.5
7400,1947,2791,925,79,151,2,173,0.00459033914724511,3.38378448147,1168.25,2322.5,653.6,58,170,2.5,143.5
7300,839,1644,549,73,154,3,100,0.016856181724255,3.44974693807,1123,2217.5,643.8,66,152.5,2.5,136.5
7200,807,1385,532,84,189,3,113,0.0341071632060163,3.39248731486,1186.5,1514.5,615.6,78.6666666666667,171.5,3,106.5
7100,745,1179,423,26,102,1,88,0.0343895253490219,3.83529489814,1084.5,1282,614.4,61,145.5,2,100.5
7000,1344,1932,683,120,219,4,169,0.0340345265934565,4.16555928209,933.75,1555.5,622.4,76.6666666666667,160.5,2.5,128.5
6900,1209,2061,580,91,186,7,178,0.0332042395943713,3.91710560777,1026.25,1996.5,553.4,79,202.5,5.5,173.5
6800,578,742,303,39,38,1,37,0.0262530140757876,3.80725324504,969,1401.5,504.2,83.3333333333333,112,4,107.5
6700,1257,1525,440,83,175,3,154,0.0273852008963226,4.67985463121,1097,1133.5,485.8,71,106.5,2,95.5
6600,1502,2157,761,107,240,4,180,0.0300932915978006,4.76977886285,1136.5,1841,553.4,76.3333333333333,207.5,3.5,167
6500,845,1618,632,57,88,0,105,0.0300525740113597,4.91315692139,1045.5,1887.5,543.2,82.3333333333333,164,2,142.5
6400,1299,1523,629,141,216,0,147,0.0269849047895447,4.92412956746,1225.75,1570.5,553,101.666666666667,152,0,126
6300,1247,2044,746,70,109,3,127,0.0232876918212565,4.41121127319,1223.25,1783.5,641.6,89.3333333333333,162.5,1.5,137
6200,705,1544,587,82,167,3,116,0.0213676916379238,3.87472591485,1024,1794,671,97.6666666666667,138,3,121.5
6100,1532,1849,738,86,92,3,98,0.0277642824268406,4.41627844577,1195.75,1696.5,666.4,79.3333333333333,129.5,3,107
6000,858,1772,568,90,210,5,145,0.0274202204744091,5.6739251336,1085.5,1810.5,653.6,86,151,4,121.5
5900,940,1279,512,54,129,1,65,0.0263790401605595,6.28908348592,1008.75,1525.5,630.2,76.6666666666667,169.5,3,105
5800,1396,1977,723,173,327,7,245,0.031959847379011,5.83600594076,1181.5,1628,625.6,105.666666666667,228,4,155
5700,888,919,307,60,94,4,90,0.0361373179987814,5.4758865153,1020.5,1448,569.6,95.6666666666667,210.5,5.5,167.5
5600,1369,1560,561,129,245,2,170,0.0708041130485245,5.08706517198,1148.25,1239.5,534.2,120.666666666667,169.5,3,130
