"dataset_ID","meantimes","coniferous_woodland_sum","deciduous_woodland_sum","wet_woodland_sum","pasture_sum","wet_meadow_sum","arable_sum","heath_sum"
"12",0.057,0.05279,0.13275,0.42693,0.23527,0.00421,0.03979,0.10291
"12",81.062,0.10772,0.23232,0.30954,0.061,0.0026,0.00909,0.25762
"12",134.144,0.06702,0.26506,0.48946,0.02861,0.02334,0.00828,0.11069
"12",182.846,0.05939,0.33705,0.41574,0.02079,0.00148,0.00668,0.15367
"12",230.552,0.10617,0.28389,0.23795,0.04443,0.01807,0.03464,0.26431
"12",278.26,0.08736,0.21899,0.49563,0.03786,0.02912,0.01864,0.10658
"12",329.74,0.08865,0.23683,0.57471,0.01364,0.01674,0.01612,0.04836
"12",403.225,0.11576,0.50862,0.12808,0.06527,0.05788,0.02463,0.08744
"12",491.984,0.13341,0.41143,0.24215,0.03139,0.05605,0.01682,0.09529
"12",545.411,0.08378,0.47368,0.23845,0.02256,0.00644,0.00967,0.15682
"12",592.246,0.04034,0.15433,0.74031,0.03055,0.01528,0.00666,0.0094
"12",635.58,0.04859,0.34697,0.41176,0.04263,0.02472,0.02813,0.08781
"12",677.413,0.03321,0.20172,0.70972,0.03198,0.00615,0.00861,0.00492
"12",721.046,0.07654,0.20133,0.67998,0.00832,0.00222,0.00776,0.02329
"12",764.055,0.15422,0.4284,0.25704,0.05508,0.02448,0.01224,0.05508
"12",808.538,0.051,0.20239,0.57678,0.04069,0.00488,0.01465,0.10038
"12",854.298,0.08515,0.50873,0.13865,0.0393,0.00437,0.01201,0.20742
"12",911.985,0.0245,0.2245,0.66993,0.00713,0.00045,0.00267,0.06993
"12",1006.149,0.0599,0.5269,0.19898,0.03959,0.00711,0.00812,0.15228
"12",1099.197,0.06181,0.25459,0.56854,0.01285,0.00184,0.0049,0.09119
"12",1179.283,0.04084,0.46597,0.29005,0.03665,0.01885,0.00628,0.13403
"12",1231.444,0.03119,0.24021,0.55474,0.02853,0.00796,0.00597,0.12674
"12",1277.602,0.04873,0.34503,0.2807,0.02729,0.01462,0.02339,0.25439
"12",1326.128,0.03829,0.43482,0.37739,0.04011,0.01732,0.01276,0.0711
"12",1407.271,0.05993,0.2912,0.53839,0.02154,0.02154,0.00749,0.04588
"12",1549.599,0.04739,0.20853,0.33081,0.15166,0.01896,0.02559,0.2
"12",1616.689,0.08987,0.26386,0.35277,0.02103,0.01243,0.00382,0.25239
"12",1659.009,0.09023,0.35768,0.31901,0.04189,0.01611,0.01074,0.15467
"12",1697.687,0.09357,0.24247,0.19935,0.03011,0.00488,0.00325,0.41985
"12",1736.082,0.03895,0.18196,0.61866,0.01435,0.0041,0.00205,0.13737
"12",1774.342,0.06905,0.33469,0.4541,0.03168,0.03493,0.00406,0.06093
"12",1814,0.09314,0.2377,0.49404,0.02757,0.03875,0.00373,0.09836
"12",1855.168,0.09916,0.29958,0.34705,0.02215,0,0.00211,0.22257
"12",1897.609,0.07293,0.32361,0.29535,0.04649,0.00182,0.00729,0.24704
"12",1955.043,0.083,0.333,0.329,0.015,0.015,0.003,0.217
"12",2079.434,0.05664,0.32422,0.32617,0.03027,0.02148,0.00391,0.23047
"12",2256.752,0.08275,0.31446,0.49477,0.02439,0.03223,0.00523,0.04094
