"calBP","araMM"
700,23
800,33
900,31
1000,30
1100,17
1200,21
1300,23
1400,27
1500,16
1600,14
1700,11
1800,14
1900,9
2000,14
2100,4
2200,2
2300,6
2400,14
2500,8
2600,6
2700,7
2800,3
2900,15
3000,5
3100,16
3200,9
3300,10
3400,11
3500,8
3600,9
3700,14
3800,14
3900,7
4000,4
4100,9
4200,4
4300,7
4400,5
4500,3
4600,4
4700,4
4800,9
4900,2
5000,5
5100,5
5200,6
5300,10
5400,3
5500,13
5600,9
5700,5
5800,8
5900,13
6000,5
6100,3
6200,5
6300,5
6400,3
6500,2
6600,5
6700,3
6800,1
6900,7
7000,3
7100,7
7200,6
7300,3
7400,8
7500,6
7600,7
7700,4
7800,2
7900,6
8000,5
8100,4
8200,10
8300,5
8400,6
8500,8
8600,4
8700,6
8800,13
8900,2
9000,5
9100,3
9200,2
9300,13
9400,9
9500,10
9600,6
9700,2
