"calBP","araMW"
700,1
800,4
900,11
1000,8
1100,8
1200,6
1300,12
1400,1
1500,10
1600,5
1700,5
1800,5
1900,1
2000,9
2100,6
2200,1
2300,9
2400,7
2500,3
2600,4
2700,0
2800,6
2900,2
3000,3
3100,4
3200,5
3300,3
3400,5
3500,3
3600,2
3700,2
3800,2
3900,0
4000,1
4100,2
4200,6
4300,1
4400,3
4500,1
4600,2
4700,3
4800,2
4900,6
5000,1
5100,6
5200,0
5300,4
5400,1
5500,2
5600,3
5700,6
5800,3
5900,1
6000,2
6100,1
6200,1
6300,3
6400,7
6500,0
6600,2
6700,4
6800,0
6900,5
7000,0
7100,5
7200,1
7300,4
7400,4
7500,1
7600,5
7700,2
7800,4
7900,2
8000,0
8100,2
8200,1
8300,3
8400,0
8500,1
8600,1
8700,8
8800,1
8900,4
9000,23
9100,10
9200,3
9300,13
9400,4
9500,9
9600,7
9700,2
