"calBP","araSE"
500,831
600,660
700,293
800,110
900,305
1000,46
1100,59
1200,116
1300,104
1400,36
1500,23
1600,17
1700,30
1800,29
1900,29
2000,17
2100,20
2200,27
2300,14
2400,25
2500,16
2600,19
2700,28
2800,12
2900,14
3000,15
3100,15
3200,16
3300,13
3400,22
3500,17
3600,9
3700,16
3800,20
3900,23
4000,21
4100,13
4200,22
4300,15
4400,24
4500,22
4600,9
4700,4
4800,8
4900,3
5000,2
5100,3
5200,7
5300,10
5400,9
5500,3
5600,6
5700,7
5800,6
5900,5
6000,11
6100,7
6200,4
6300,12
6400,7
6500,7
6600,11
6700,6
6800,11
6900,3
7000,4
7100,15
7200,5
7300,20
7400,4
7500,8
7600,5
7700,8
7800,8
7900,4
8000,11
8100,11
8200,11
8300,14
8400,5
8500,15
8600,3
8700,7
8800,12
8900,4
9000,14
9100,11
9200,15
9300,7
9400,26
9500,33
9600,20
9700,21
