"calBP","araSM"
1400,255
1500,470
1600,264
1700,140
1800,167
1900,80
2000,66
2100,90
2200,197
2300,151
2400,51
2500,78
2600,34
2700,54
2800,58
2900,80
3000,64
3100,56
3200,73
3300,56
3400,1
3500,4
3600,41
3700,40
3900,30
4000,42
4100,2
4200,40
4300,29
4400,0
4500,14
4600,4
4700,6
4800,3
4900,1
5000,19
5100,11
5200,14
5300,7
5400,0
5500,13
5600,17
5700,5
5800,2
5900,9
6000,1
6100,2
6200,5
6300,8
6400,2
6500,13
6600,5
6700,0
6800,2
6900,5
7000,9
7100,2
7200,8
7300,11
7400,15
7500,10
7600,8
7700,8
7800,2
7900,6
8000,10
8100,8
8200,5
8300,3
8400,12
8500,3
8600,8
8700,10
8800,9
8900,4
9000,9
9100,17
9200,7
9300,28
9400,66
9500,13
9600,11
9700,19
