"calBP","araSW"
700,19
800,32
900,29
1000,31
1100,39
1200,11
1300,5
1400,7
1500,12
1600,7
1700,11
1800,11
1900,18
2000,8
2100,12
2200,12
2300,11
2400,5
2500,15
2600,3
2700,16
2800,6
2900,8
3000,4
3100,6
3200,7
3300,4
3400,7
3500,9
3600,7
3700,5
3800,6
3900,3
4000,4
4100,14
4200,2
4300,3
4400,6
4500,6
4600,4
4700,7
4800,6
4900,2
5000,2
5100,5
5200,5
5300,5
5400,7
5500,3
5600,2
5700,4
5800,7
5900,1
6000,5
6100,3
6200,3
6300,3
6400,0
6500,0
6600,4
6700,3
6800,1
6900,7
7000,4
7100,1
7200,3
7300,3
7400,2
7500,3
7600,3
7700,2
7800,3
7900,4
8000,4
8100,3
8200,2
8300,5
8400,0
8500,8
8600,9
8700,6
8800,3
8900,3
9000,8
9100,4
9200,4
9300,3
9400,1
9500,2
9600,0
9700,5
