"calBP","conMM"
700,2988
800,3434
900,4498
1000,4530
1100,2840
1200,4057
1300,3188
1400,4330
1500,3979
1600,5355
1700,3968
1800,4693
1900,4886
2000,3993
2100,4814
2200,2014
2300,2992
2400,5103
2500,3366
2600,5900
2700,3340
2800,5589
2900,4366
3000,4316
3100,4752
3200,4771
3300,3763
3400,4303
3500,2664
3600,3507
3700,7413
3800,5298
3900,4490
4000,3973
4100,5108
4200,3102
4300,2359
4400,3345
4500,1893
4600,3452
4700,2821
4800,2079
4900,2437
5000,3187
5100,3101
5200,2922
5300,2933
5400,2053
5500,3145
5600,3284
5700,1458
5800,2425
5900,2810
6000,1244
6100,2065
6200,1364
6300,1966
6400,2235
6500,1808
6600,2095
6700,1927
6800,1783
6900,2397
7000,2602
7100,984
7200,2026
7300,1801
7400,2110
7500,3231
7600,1379
7700,2862
7800,2310
7900,1614
8000,3103
8100,3423
8200,3596
8300,3420
8400,1778
8500,2917
8600,2701
8700,3695
8800,3696
8900,1328
9000,3196
9100,3949
9200,1813
9300,2489
9400,4547
9500,3017
9600,2638
9700,3099
