"calBP","conMW"
700,812
800,636
900,670
1000,1018
1100,578
1200,688
1300,1218
1400,439
1500,695
1600,705
1700,607
1800,982
1900,611
2000,854
2100,818
2200,360
2300,1197
2400,583
2500,430
2600,912
2700,676
2800,856
2900,200
3000,681
3100,1020
3200,820
3300,608
3400,1134
3500,676
3600,1419
3700,852
3800,791
3900,1058
4000,1038
4100,1251
4200,783
4300,616
4400,753
4500,445
4600,964
4700,413
4800,579
4900,819
5000,784
5100,1003
5200,501
5300,640
5400,312
5500,757
5600,859
5700,290
5800,898
5900,1029
6000,468
6100,558
6200,763
6300,431
6400,947
6500,721
6600,603
6700,780
6800,155
6900,864
7000,505
7100,496
7200,584
7300,563
7400,703
7500,392
7600,681
7700,691
7800,962
7900,655
8000,791
8100,1132
8200,593
8300,959
8400,324
8500,555
8600,926
8700,918
8800,757
8900,485
9000,1222
9100,1195
9200,453
9300,838
9400,1040
9500,454
9600,283
9700,923
