"calBP","conN"
1400,1222
1500,809
1600,1784
1700,1451
1800,1209
1900,1607
2000,1960
2100,1404
2200,1224
2300,1530
2400,1451
2500,1511
2600,1701
2700,831
2800,1069
2900,1794
3000,1023
3100,1093
3200,1813
3300,1096
3400,1183
3500,1675
3600,1417
3700,827
3800,1970
3900,1014
4000,1213
4100,1894
4200,1519
4300,945
4400,1311
4500,1701
4600,1892
4700,977
4800,1542
4900,1791
5000,1227
5100,1517
5200,1278
5300,1766
5400,1152
5500,2195
5600,1909
5700,1641
5800,2513
5900,1483
6000,1809
6100,2421
6200,1341
6300,2673
6400,1397
6500,1791
6600,1640
6700,1425
6800,1652
6900,1458
7000,1438
7100,2770
7200,1197
7300,1547
7400,2157
7500,1438
7600,2489
7700,1057
7800,1273
7900,1559
8000,1396
8100,881
8200,1341
8300,1273
8400,402
8500,1147
8600,1229
8700,915
8800,344
8900,742
9000,766
9100,350
9200,936
9300,269
9400,393
9500,336
9600,348
9700,446
