"calBP","conSE"
500,4565
600,5778
700,3349
800,3275
900,5670
1000,4813
1100,5055
1200,5567
1300,5285
1400,3893
1500,4314
1600,3303
1700,4504
1800,3002
1900,2371
2000,2147
2100,2439
2200,4749
2300,3035
2400,5318
2500,2832
2600,3930
2700,4000
2800,3256
2900,2173
3000,2927
3100,5001
3200,3946
3300,3168
3400,3044
3500,1627
3600,2133
3700,2050
3800,2088
3900,2103
4000,1311
4100,1716
4200,1954
4300,2260
4400,1245
4500,1386
4600,1379
4700,991
4800,1139
4900,539
5000,695
5100,502
5200,841
5300,913
5400,1391
5500,630
5600,826
5700,934
5800,809
5900,562
6000,1403
6100,1061
6200,366
6300,1123
6400,1395
6500,541
6600,1569
6700,1309
6800,988
6900,895
7000,919
7100,1433
7200,793
7300,1375
7400,1389
7500,1429
7600,1147
7700,2009
7800,1225
7900,1045
8000,1659
8100,1528
8200,2016
8300,1628
8400,1461
8500,1895
8600,1638
8700,2012
8800,2401
8900,1080
9000,1703
9100,1593
9200,2651
9300,2695
9400,2479
9500,1472
9600,2250
9700,720
