"calBP","conSM"
1400,1597
1500,629
1600,1115
1700,505
1800,1362
1900,297
2000,440
2100,263
2200,830
2300,1079
2400,229
2500,1073
2600,472
2700,336
2800,590
2900,1209
3000,442
3100,672
3200,1273
3300,485
3400,224
3500,83
3600,1170
3700,488
3900,459
4000,1032
4100,112
4200,364
4300,248
4400,356
4500,978
4600,277
4700,229
4800,296
4900,154
5000,998
5100,161
5200,1073
5300,431
5400,83
5500,625
5600,976
5700,536
5800,66
5900,457
6000,100
6100,513
6200,766
6300,592
6400,378
6500,1107
6600,193
6700,420
6800,170
6900,1061
7000,282
7100,447
7200,864
7300,752
7400,1599
7500,1007
7600,470
7700,1133
7800,1208
7900,944
8000,862
8100,1441
8200,841
8300,1133
8400,2062
8500,1258
8600,1679
8700,1734
8800,1834
8900,2487
9000,2461
9100,3376
9200,2051
9300,1524
9400,1725
9500,1072
9600,1248
9700,2123
