"calBP","conSW"
700,1518
800,1898
900,1100
1000,1356
1100,1323
1200,874
1300,1161
1400,1071
1500,1297
1600,989
1700,1324
1800,1147
1900,2074
2000,1365
2100,1270
2200,1383
2300,1704
2400,759
2500,1878
2600,1254
2700,1486
2800,1043
2900,1549
3000,1225
3100,1353
3200,1187
3300,1184
3400,1322
3500,1321
3600,681
3700,1559
3800,1131
3900,843
4000,812
4100,1267
4200,1183
4300,587
4400,1322
4500,1384
4600,654
4700,1363
4800,1042
4900,985
5000,803
5100,1071
5200,1210
5300,832
5400,1039
5500,955
5600,1369
5700,888
5800,1396
5900,940
6000,858
6100,1532
6200,705
6300,1247
6400,1299
6500,845
6600,1502
6700,1257
6800,578
6900,1209
7000,1344
7100,745
7200,807
7300,839
7400,1947
7500,1153
7600,553
7700,1020
7800,1592
7900,1313
8000,1158
8100,1788
8200,1462
8300,1088
8400,1235
8500,1710
8600,1703
8700,2028
8800,993
8900,1004
9000,1878
9100,1406
9200,1714
9300,1682
9400,551
9500,636
9600,1315
9700,846
