"calBP","decMM"
700,1424
800,1668
900,1941
1000,2286
1100,1701
1200,2327
1300,2308
1400,2633
1500,2719
1600,3016
1700,1904
1800,2553
1900,3126
2000,2782
2100,3753
2200,1929
2300,2882
2400,4158
2500,2966
2600,4728
2700,2983
2800,5073
2900,4626
3000,3623
3100,4827
3200,5058
3300,4371
3400,4391
3500,2604
3600,3264
3700,5903
3800,5284
3900,4442
4000,3804
4100,4514
4200,2969
4300,3343
4400,3803
4500,2170
4600,4014
4700,3542
4800,2839
4900,2735
5000,3621
5100,4433
5200,4135
5300,4028
5400,2770
5500,4134
5600,4716
5700,2543
5800,3708
5900,4321
6000,2500
6100,3053
6200,2751
6300,4021
6400,2991
6500,2784
6600,3645
6700,3090
6800,3247
6900,3961
7000,4262
7100,2378
7200,4073
7300,2823
7400,3651
7500,4630
7600,1962
7700,4223
7800,3050
7900,2128
8000,3201
8100,3840
8200,3997
8300,3752
8400,2176
8500,3227
8600,2600
8700,2568
8800,2260
8900,1804
9000,2067
9100,1950
9200,1436
9300,1254
9400,1718
9500,2048
9600,1277
9700,1032
