"calBP","decMW"
700,658
800,459
900,451
1000,807
1100,482
1200,509
1300,895
1400,227
1500,668
1600,517
1700,531
1800,664
1900,488
2000,932
2100,621
2200,352
2300,917
2400,484
2500,563
2600,693
2700,587
2800,758
2900,334
3000,636
3100,716
3200,881
3300,495
3400,985
3500,541
3600,1176
3700,654
3800,819
3900,961
4000,924
4100,1046
4200,639
4300,401
4400,802
4500,470
4600,880
4700,611
4800,378
4900,1080
5000,608
5100,1027
5200,650
5300,849
5400,447
5500,755
5600,1060
5700,646
5800,1094
5900,1249
6000,921
6100,710
6200,1452
6300,876
6400,1833
6500,1404
6600,1087
6700,803
6800,274
6900,1538
7000,620
7100,693
7200,872
7300,825
7400,855
7500,537
7600,969
7700,439
7800,851
7900,915
8000,464
8100,921
8200,539
8300,831
8400,206
8500,701
8600,958
8700,1351
8800,672
8900,810
9000,1019
9100,1255
9200,453
9300,1099
9400,860
9500,790
9600,622
9700,939
