"calBP","decN"
1400,1457
1500,1533
1600,2244
1700,2499
1800,1686
1900,2488
2000,2481
2100,2045
2200,1509
2300,2053
2400,2847
2500,2372
2600,2883
2700,2054
2800,2089
2900,2429
3000,1945
3100,2490
3200,2557
3300,1707
3400,2108
3500,2324
3600,2403
3700,726
3800,3101
3900,1339
4000,2155
4100,1953
4200,2647
4300,1390
4400,1815
4500,2000
4600,1760
4700,1581
4800,2517
4900,2317
5000,1823
5100,1896
5200,1435
5300,2874
5400,1749
5500,2236
5600,1907
5700,1394
5800,3033
5900,1268
6000,2500
6100,2318
6200,1941
6300,2858
6400,1578
6500,2429
6600,1670
6700,1794
6800,1973
6900,1139
7000,1539
7100,2915
7200,1251
7300,1944
7400,2146
7500,2039
7600,3974
7700,1462
7800,2282
7900,3250
8000,2172
8100,2397
8200,2233
8300,2801
8400,1331
8500,3107
8600,2529
8700,3166
8800,873
8900,3407
9000,3245
9100,867
9200,3999
9300,1190
9400,3052
9500,1284
9600,2275
9700,2283
