"calBP","decSE"
500,2585
600,2916
700,2982
800,2125
900,2999
1000,3816
1100,3463
1200,3829
1300,3074
1400,3138
1500,2350
1600,1302
1700,2998
1800,2510
1900,1734
2000,1835
2100,2793
2200,4869
2300,2371
2400,3756
2500,2241
2600,2562
2700,3158
2800,2513
2900,2370
3000,3194
3100,3170
3200,3071
3300,3229
3400,4125
3500,2746
3600,3662
3700,3911
3800,3999
3900,4264
4000,2967
4100,4062
4200,5192
4300,4574
4400,4368
4500,3584
4600,2326
4700,1775
4800,2527
4900,1245
5000,2079
5100,1077
5200,2114
5300,2481
5400,2562
5500,1671
5600,1365
5700,2781
5800,2691
5900,1000
6000,3463
6100,2080
6200,1577
6300,2708
6400,3407
6500,1855
6600,3643
6700,2681
6800,2957
6900,1748
7000,2584
7100,3243
7200,2610
7300,2897
7400,1387
7500,2086
7600,2929
7700,3357
7800,1549
7900,1010
8000,2280
8100,2518
8200,3952
8300,2603
8400,2396
8500,2763
8600,2435
8700,3330
8800,3122
8900,2215
9000,2814
9100,2595
9200,2539
9300,1837
9400,2518
9500,2033
9600,2213
9700,1106
