"calBP","decSM"
1400,2694
1500,3810
1600,4608
1700,2400
1800,5498
1900,1969
2000,2538
2100,1695
2200,4041
2300,3850
2400,2131
2500,2746
2600,1609
2700,1974
2800,2026
2900,2991
3000,1954
3100,2180
3200,2503
3300,2075
3400,353
3500,248
3600,2920
3700,2118
3900,2143
4000,2638
4100,236
4200,1899
4300,1573
4400,667
4500,2454
4600,665
4700,1636
4800,572
4900,516
5000,2747
5100,1698
5200,2754
5300,2030
5400,300
5500,2211
5600,2108
5700,1704
5800,277
5900,1751
6000,379
6100,2212
6200,1183
6300,2025
6400,1845
6500,2848
6600,1677
6700,2022
6800,2117
6900,1199
7000,2032
7100,1945
7200,3448
7300,3142
7400,3030
7500,2413
7600,1627
7700,2034
7800,768
7900,2071
8000,2333
8100,2128
8200,2318
8300,2081
8400,3156
8500,1427
8600,2222
8700,2826
8800,3439
8900,3108
9000,3116
9100,3393
9200,2355
9300,1713
9400,2578
9500,1390
9600,715
9700,2024
