"calBP","decSW"
700,2099
800,2968
900,1933
1000,2715
1100,2451
1200,1877
1300,1823
1400,1445
1500,1919
1600,1635
1700,2234
1800,1606
1900,2732
2000,1645
2100,1520
2200,2232
2300,1917
2400,1338
2500,2575
2600,1451
2700,1906
2800,1522
2900,1956
3000,1727
3100,1833
3200,1495
3300,1913
3400,2148
3500,2060
3600,1202
3700,1827
3800,1461
3900,1116
4000,766
4100,2082
4200,1135
4300,730
4400,1656
4500,1810
4600,522
4700,2188
4800,1023
4900,1187
5000,1225
5100,1068
5200,1938
5300,843
5400,1764
5500,1096
5600,1560
5700,919
5800,1977
5900,1279
6000,1772
6100,1849
6200,1544
6300,2044
6400,1523
6500,1618
6600,2157
6700,1525
6800,742
6900,2061
7000,1932
7100,1179
7200,1385
7300,1644
7400,2791
7500,1854
7600,1285
7700,2084
7800,2353
7900,2333
8000,2508
8100,2102
8200,2925
8300,1948
8400,1245
8500,2734
8600,2207
8700,3352
8800,1699
8900,1499
9000,3200
9100,3183
9200,2370
9300,1948
9400,396
9500,954
9600,1407
9700,1875
