"calBP","heaMM"
700,246
800,269
900,248
1000,209
1100,203
1200,260
1300,233
1400,229
1500,177
1600,201
1700,54
1800,171
1900,194
2000,118
2100,126
2200,26
2300,91
2400,156
2500,66
2600,173
2700,62
2800,81
2900,144
3000,55
3100,142
3200,80
3300,98
3400,99
3500,45
3600,176
3700,89
3800,78
3900,128
4000,40
4100,137
4200,36
4300,64
4400,96
4500,22
4600,48
4700,79
4800,54
4900,24
5000,131
5100,66
5200,66
5300,104
5400,33
5500,38
5600,63
5700,35
5800,69
5900,56
6000,18
6100,70
6200,31
6300,25
6400,65
6500,35
6600,42
6700,83
6800,11
6900,32
7000,65
7100,16
7200,64
7300,17
7400,66
7500,56
7600,8
7700,80
7800,77
7900,17
8000,102
8100,162
8200,144
8300,202
8400,142
8500,163
8600,119
8700,90
8800,229
8900,24
9000,99
9100,81
9200,50
9300,65
9400,69
9500,82
9600,98
9700,132
