"calBP","heaMW"
700,198
800,193
900,196
1000,269
1100,163
1200,177
1300,420
1400,82
1500,198
1600,207
1700,137
1800,374
1900,117
2000,203
2100,181
2200,84
2300,243
2400,132
2500,93
2600,186
2700,162
2800,165
2900,11
3000,213
3100,131
3200,251
3300,159
3400,236
3500,95
3600,268
3700,203
3800,142
3900,206
4000,178
4100,172
4200,136
4300,167
4400,158
4500,135
4600,158
4700,63
4800,54
4900,177
5000,76
5100,284
5200,43
5300,192
5400,41
5500,61
5600,199
5700,59
5800,177
5900,94
6000,127
6100,50
6200,98
6300,70
6400,215
6500,155
6600,117
6700,133
6800,9
6900,195
7000,183
7100,50
7200,126
7300,83
7400,148
7500,39
7600,122
7700,123
7800,207
7900,101
8000,99
8100,130
8200,96
8300,200
8400,28
8500,95
8600,152
8700,202
8800,124
8900,139
9000,179
9100,273
9200,159
9300,223
9400,167
9500,172
9600,97
9700,192
