"calBP","heaSE"
500,881
600,584
700,394
800,285
900,207
1000,225
1100,867
1200,2823
1300,874
1400,98
1500,109
1600,52
1700,114
1800,63
1900,63
2000,33
2100,126
2200,285
2300,149
2400,323
2500,79
2600,126
2700,107
2800,130
2900,77
3000,82
3100,93
3200,30
3300,59
3400,41
3500,112
3600,19
3700,36
3800,48
3900,61
4000,22
4100,46
4200,40
4300,43
4400,52
4500,28
4600,64
4700,12
4800,54
4900,5
5000,30
5100,16
5200,23
5300,39
5400,14
5500,88
5600,2
5700,33
5800,34
5900,20
6000,20
6100,30
6200,44
6300,8
6400,22
6500,44
6600,18
6700,32
6800,79
6900,31
7000,6
7100,20
7200,5
7300,8
7400,14
7500,8
7600,6
7700,30
7800,4
7900,2
8000,7
8100,10
8200,11
8300,23
8400,9
8500,18
8600,21
8700,26
8800,25
8900,8
9000,6
9100,32
9200,17
9300,11
9400,33
9500,35
9600,20
9700,14
