"calBP","heaSM"
1400,190
1500,267
1600,1020
1700,368
1800,743
1900,261
2000,298
2100,36
2200,137
2300,80
2400,230
2500,85
2600,58
2700,150
2800,46
2900,323
3000,285
3100,211
3200,126
3300,348
3400,15
3500,217
3600,118
3700,94
3900,159
4000,84
4100,281
4200,195
4300,390
4400,217
4500,365
4600,1006
4700,189
4800,602
4900,672
5000,312
5100,3
5200,24
5300,570
5400,166
5500,685
5600,804
5700,32
5800,209
5900,26
6000,158
6100,219
6200,521
6300,339
6400,151
6500,261
6600,95
6700,33
6800,170
6900,105
7000,129
7100,19
7200,28
7300,10
7400,34
7500,18
7600,3
7700,32
7800,2
7900,18
8000,27
8100,11
8200,21
8300,14
8400,41
8500,26
8600,21
8700,32
8800,24
8900,32
9000,17
9100,62
9200,27
9300,62
9400,89
9500,48
9600,18
9700,34
