"calBP","heaSW"
700,262
800,507
900,257
1000,299
1100,276
1200,185
1300,165
1400,166
1500,214
1600,164
1700,202
1800,279
1900,376
2000,247
2100,182
2200,237
2300,238
2400,123
2500,255
2600,130
2700,202
2800,165
2900,210
3000,162
3100,203
3200,123
3300,107
3400,159
3500,145
3600,103
3700,151
3800,154
3900,93
4000,103
4100,159
4200,151
4300,62
4400,151
4500,197
4600,66
4700,194
4800,134
4900,125
5000,96
5100,197
5200,152
5300,136
5400,129
5500,128
5600,170
5700,90
5800,245
5900,65
6000,145
6100,98
6200,116
6300,127
6400,147
6500,105
6600,180
6700,154
6800,37
6900,178
7000,169
7100,88
7200,113
7300,100
7400,173
7500,114
7600,67
7700,110
7800,204
7900,150
8000,168
8100,251
8200,223
8300,198
8400,196
8500,333
8600,331
8700,353
8800,186
8900,179
9000,165
9100,147
9200,221
9300,173
9400,98
9500,39
9600,231
9700,139
