"calBP","conMM","decMM","wetwMM","wetmMM","pasMM","araMM","heaMM"
700,2988,1424,232,93,211,23,246
800,3434,1668,264,96,201,33,269
900,4498,1941,387,101,231,31,248
1000,4530,2286,333,74,169,30,209
1100,2840,1701,229,125,225,17,203
1200,4057,2327,454,120,245,21,260
1300,3188,2308,468,99,213,23,233
1400,4330,2633,484,111,197,27,229
1500,3979,2719,462,104,191,16,177
1600,5355,3016,520,121,166,14,201
1700,3968,1904,379,34,89,11,54
1800,4693,2553,491,103,139,14,171
1900,4886,3126,538,98,167,9,194
2000,3993,2782,582,90,149,14,118
2100,4814,3753,694,97,129,4,126
2200,2014,1929,380,27,47,2,26
2300,2992,2882,550,86,125,6,91
2400,5103,4158,682,119,156,14,156
2500,3366,2966,454,36,57,8,66
2600,5900,4728,667,110,120,6,173
2700,3340,2983,606,46,53,7,62
2800,5589,5073,769,64,53,3,81
2900,4366,4626,740,86,145,15,144
3000,4316,3623,651,54,48,5,55
3100,4752,4827,677,77,91,16,142
3200,4771,5058,797,67,60,9,80
3300,3763,4371,604,56,69,10,98
3400,4303,4391,586,75,100,11,99
3500,2664,2604,450,33,35,8,45
3600,3507,3264,512,95,107,9,176
3700,7413,5903,876,81,92,14,89
3800,5298,5284,810,62,69,14,78
3900,4490,4442,622,71,89,7,128
4000,3973,3804,571,52,55,4,40
4100,5108,4514,801,106,98,9,137
4200,3102,2969,504,28,22,4,36
4300,2359,3343,474,60,52,7,64
4400,3345,3803,670,49,55,5,96
4500,1893,2170,300,21,18,3,22
4600,3452,4014,655,59,66,4,48
4700,2821,3542,565,40,51,4,79
4800,2079,2839,521,51,46,9,54
4900,2437,2735,390,25,14,2,24
5000,3187,3621,611,72,72,5,131
5100,3101,4433,811,45,48,5,66
5200,2922,4135,643,46,35,6,66
5300,2933,4028,623,53,71,10,104
5400,2053,2770,390,32,41,3,33
5500,3145,4134,713,43,46,13,38
5600,3284,4716,945,63,67,9,63
5700,1458,2543,501,39,40,5,35
5800,2425,3708,599,65,74,8,69
5900,2810,4321,848,64,40,13,56
6000,1244,2500,519,23,24,5,18
6100,2065,3053,476,36,61,3,70
6200,1364,2751,490,30,33,5,31
6300,1966,4021,751,27,29,5,25
6400,2235,2991,547,45,61,3,65
6500,1808,2784,690,41,33,2,35
6600,2095,3645,907,38,57,5,42
6700,1927,3090,794,66,59,3,83
6800,1783,3247,518,20,21,1,11
6900,2397,3961,733,66,52,7,32
7000,2602,4262,823,50,68,3,65
7100,984,2378,700,28,9,7,16
7200,2026,4073,764,60,80,6,64
7300,1801,2823,799,28,23,3,17
7400,2110,3651,1001,49,77,8,66
7500,3231,4630,1263,66,69,6,56
7600,1379,1962,478,21,19,7,8
7700,2862,4223,1406,60,59,4,80
7800,2310,3050,835,41,53,2,77
7900,1614,2128,691,22,24,6,17
8000,3103,3201,753,62,71,5,102
8100,3423,3840,1062,84,100,4,162
8200,3596,3997,1020,91,109,10,144
8300,3420,3752,978,101,144,5,202
8400,1778,2176,747,52,63,6,142
8500,2917,3227,996,75,119,8,163
8600,2701,2600,810,60,84,4,119
8700,3695,2568,1057,73,73,6,90
8800,3696,2260,682,85,83,13,229
8900,1328,1804,705,35,47,2,24
9000,3196,2067,804,61,81,5,99
9100,3949,1950,547,82,98,3,81
9200,1813,1436,585,24,48,2,50
9300,2489,1254,331,53,79,13,65
9400,4547,1718,197,79,115,9,69
9500,3017,2048,161,78,94,10,82
9600,2638,1277,151,103,120,6,98
9700,3099,1032,138,43,136,2,132
