"calBP","conMW","decMW","wetwMW","wetmMW","pasMW","araMW","heaMW"
700,812,658,406,201,266,1,198
800,636,459,233,187,387,4,193
900,670,451,136,221,431,11,196
1000,1018,807,210,240,449,8,269
1100,578,482,271,235,738,8,163
1200,688,509,137,195,487,6,177
1300,1218,895,355,243,618,12,420
1400,439,227,88,174,158,1,82
1500,695,668,156,167,245,10,198
1600,705,517,201,218,173,5,207
1700,607,531,127,187,223,5,137
1800,982,664,344,196,369,5,374
1900,611,488,126,188,144,1,117
2000,854,932,201,185,426,9,203
2100,818,621,225,213,189,6,181
2200,360,352,100,110,82,1,84
2300,1197,917,298,246,292,9,243
2400,583,484,197,299,269,7,132
2500,430,563,106,151,183,3,93
2600,912,693,220,218,150,4,186
2700,676,587,155,126,123,0,162
2800,856,758,272,214,256,6,165
2900,200,334,98,102,175,2,11
3000,681,636,219,124,175,3,213
3100,1020,716,239,158,129,4,131
3200,820,881,268,215,322,5,251
3300,608,495,147,183,146,3,159
3400,1134,985,351,283,312,5,236
3500,676,541,140,163,137,3,95
3600,1419,1176,564,308,342,2,268
3700,852,654,134,183,186,2,203
3800,791,819,239,187,209,2,142
3900,1058,961,300,162,137,0,206
4000,1038,924,243,237,212,1,178
4100,1251,1046,340,170,209,2,172
4200,783,639,213,120,172,6,136
4300,616,401,53,78,81,1,167
4400,753,802,241,142,137,3,158
4500,445,470,84,61,72,1,135
4600,964,880,233,136,103,2,158
4700,413,611,236,101,161,3,63
4800,579,378,75,54,52,2,54
4900,819,1080,340,154,208,6,177
5000,784,608,214,90,64,1,76
5100,1003,1027,215,113,133,6,284
5200,501,650,217,84,83,0,43
5300,640,849,205,100,112,4,192
5400,312,447,107,65,88,1,41
5500,757,755,244,109,58,2,61
5600,859,1060,292,154,163,3,199
5700,290,646,207,65,117,6,59
5800,898,1094,355,128,129,3,177
5900,1029,1249,406,116,114,1,94
6000,468,921,169,89,124,2,127
6100,558,710,239,104,47,1,50
6200,763,1452,396,122,125,1,98
6300,431,876,252,54,64,3,70
6400,947,1833,665,167,161,7,215
6500,721,1404,589,102,125,0,155
6600,603,1087,352,58,91,2,117
6700,780,803,289,102,86,4,133
6800,155,274,82,7,4,0,9
6900,864,1538,722,116,159,5,195
7000,505,620,180,23,36,0,183
7100,496,693,388,58,43,5,50
7200,584,872,474,78,102,1,126
7300,563,825,407,92,38,4,83
7400,703,855,578,69,99,4,148
7500,392,537,193,39,42,1,39
7600,681,969,541,72,100,5,122
7700,691,439,311,59,39,2,123
7800,962,851,362,97,60,4,207
7900,655,915,549,88,87,2,101
8000,791,464,350,69,73,0,99
8100,1132,921,239,68,80,2,130
8200,593,539,433,46,32,1,96
8300,959,831,434,100,116,3,200
8400,324,206,11,8,48,0,28
8500,555,701,342,77,43,1,95
8600,926,958,174,112,126,1,152
8700,918,1351,175,87,187,8,202
8800,757,672,204,86,49,1,124
8900,485,810,129,36,128,4,139
9000,1222,1019,180,64,93,23,179
9100,1195,1255,173,106,189,10,273
9200,453,453,110,26,119,3,159
9300,838,1099,115,66,161,13,223
9400,1040,860,130,68,113,4,167
9500,454,790,86,88,71,9,172
9600,283,622,58,45,92,7,97
9700,923,939,127,57,149,2,192
