"calBP","conSM","decSM","wetwSM","wetmSM","pasSM","araSM","heaSM"
1400,1597,2694,1299,132,889,255,190
1500,629,3810,1507,166,1734,470,267
1600,1115,4608,2191,153,1553,264,1020
1700,505,2400,2364,98,910,140,368
1800,1362,5498,2986,173,1206,167,743
1900,297,1969,1084,85,639,80,261
2000,440,2538,1107,63,583,66,298
2100,263,1695,703,83,698,90,36
2200,830,4041,2164,156,1408,197,137
2300,1079,3850,1772,118,1222,151,80
2400,229,2131,1033,94,572,51,230
2500,1073,2746,782,76,686,78,85
2600,472,1609,611,49,644,34,58
2700,336,1974,1068,42,843,54,150
2800,590,2026,774,41,631,58,46
2900,1209,2991,1245,58,825,80,323
3000,442,1954,896,39,641,64,285
3100,672,2180,1146,56,619,56,211
3200,1273,2503,1022,42,532,73,126
3300,485,2075,1551,25,391,56,348
3400,224,353,103,4,35,1,15
3500,83,248,507,1,5,4,217
3600,1170,2920,1261,27,291,41,118
3700,488,2118,1297,18,347,40,94
3900,459,2143,1315,16,324,30,159
4000,1032,2638,1426,28,366,42,84
4100,112,236,587,0,7,2,281
4200,364,1899,1261,19,244,40,195
4300,248,1573,1054,6,178,29,390
4400,356,667,1477,4,23,0,217
4500,978,2454,2242,21,187,14,365
4600,277,665,456,5,22,4,1006
4700,229,1636,3976,10,130,6,189
4800,296,572,425,8,20,3,602
4900,154,516,943,1,7,1,672
5000,998,2747,8385,20,157,19,312
5100,161,1698,587,2,115,11,3
5200,1073,2754,4687,25,142,14,24
5300,431,2030,1273,25,107,7,570
5400,83,300,231,2,10,0,166
5500,625,2211,1647,16,158,13,685
5600,976,2108,1276,17,157,17,804
5700,536,1704,944,15,130,5,32
5800,66,277,336,8,7,2,209
5900,457,1751,1055,22,128,9,26
6000,100,379,1027,1,1,1,158
6100,513,2212,1131,21,130,2,219
6200,766,1183,843,15,29,5,521
6300,592,2025,1934,26,151,8,339
6400,378,1845,1376,14,92,2,151
6500,1107,2848,1432,21,147,13,261
6600,193,1677,885,12,85,5,95
6700,420,2022,809,21,123,0,33
6800,170,2117,980,5,98,2,170
6900,1061,1199,527,17,81,5,105
7000,282,2032,1154,17,97,9,129
7100,447,1945,913,19,120,2,19
7200,864,3448,1533,27,191,8,28
7300,752,3142,1531,20,158,11,10
7400,1599,3030,1136,333,94,15,34
7500,1007,2413,912,125,116,10,18
7600,470,1627,800,26,85,8,3
7700,1133,2034,770,82,72,8,32
7800,1208,768,293,45,31,2,2
7900,944,2071,906,17,128,6,18
8000,862,2333,1415,22,649,10,27
8100,1441,2128,1041,32,268,8,11
8200,841,2318,1013,24,133,5,21
8300,1133,2081,867,27,156,3,14
8400,2062,3156,1307,46,208,12,41
8500,1258,1427,625,18,81,3,26
8600,1679,2222,811,18,174,8,21
8700,1734,2826,1302,27,206,10,32
8800,1834,3439,1714,43,244,9,24
8900,2487,3108,1331,29,192,4,32
9000,2461,3116,1318,17,180,9,17
9100,3376,3393,995,31,301,17,62
9200,2051,2355,698,23,218,7,27
9300,1524,1713,273,60,239,28,62
9400,1725,2578,760,56,314,66,89
9500,1072,1390,562,17,192,13,48
9600,1248,715,248,30,340,11,18
9700,2123,2024,194,40,313,19,34
