"calBP","conSW","decSW","wetwSW","wetmSW","pasSW","araSW","heaSW"
700,1518,2099,612,278,442,19,262
800,1898,2968,839,470,749,32,507
900,1100,1933,533,199,420,29,257
1000,1356,2715,842,306,633,31,299
1100,1323,2451,506,307,525,39,276
1200,874,1877,483,164,346,11,185
1300,1161,1823,427,249,372,5,165
1400,1071,1445,459,148,407,7,166
1500,1297,1919,651,193,348,12,214
1600,989,1635,556,204,347,7,164
1700,1324,2234,839,298,400,11,202
1800,1147,1606,478,381,462,11,279
1900,2074,2732,890,416,652,18,376
2000,1365,1645,436,329,388,8,247
2100,1270,1520,486,188,256,12,182
2200,1383,2232,707,259,460,12,237
2300,1704,1917,615,228,431,11,238
2400,759,1338,494,171,303,5,123
2500,1878,2575,846,274,461,15,255
2600,1254,1451,466,229,304,3,130
2700,1486,1906,540,177,408,16,202
2800,1043,1522,520,221,315,6,165
2900,1549,1956,580,217,351,8,210
3000,1225,1727,641,201,323,4,162
3100,1353,1833,643,157,246,6,203
3200,1187,1495,465,162,261,7,123
3300,1184,1913,628,75,142,4,107
3400,1322,2148,740,209,345,7,159
3500,1321,2060,631,159,260,9,145
3600,681,1202,412,100,138,7,103
3700,1559,1827,674,171,271,5,151
3800,1131,1461,507,126,183,6,154
3900,843,1116,358,104,175,3,93
4000,812,766,217,83,161,4,103
4100,1267,2082,717,131,231,14,159
4200,1183,1135,315,174,214,2,151
4300,587,730,219,39,69,3,62
4400,1322,1656,548,143,224,6,151
4500,1384,1810,583,146,187,6,197
4600,654,522,140,56,107,4,66
4700,1363,2188,684,103,188,7,194
4800,1042,1023,317,98,201,6,134
4900,985,1187,303,61,138,2,125
5000,803,1225,420,80,137,2,96
5100,1071,1068,270,155,214,5,197
5200,1210,1938,685,67,193,5,152
5300,832,843,258,78,103,5,136
5400,1039,1764,660,81,203,7,129
5500,955,1096,362,95,179,3,128
5600,1369,1560,561,129,245,2,170
5700,888,919,307,60,94,4,90
5800,1396,1977,723,173,327,7,245
5900,940,1279,512,54,129,1,65
6000,858,1772,568,90,210,5,145
6100,1532,1849,738,86,92,3,98
6200,705,1544,587,82,167,3,116
6300,1247,2044,746,70,109,3,127
6400,1299,1523,629,141,216,0,147
6500,845,1618,632,57,88,0,105
6600,1502,2157,761,107,240,4,180
6700,1257,1525,440,83,175,3,154
6800,578,742,303,39,38,1,37
6900,1209,2061,580,91,186,7,178
7000,1344,1932,683,120,219,4,169
7100,745,1179,423,26,102,1,88
7200,807,1385,532,84,189,3,113
7300,839,1644,549,73,154,3,100
7400,1947,2791,925,79,151,2,173
7500,1153,1854,643,46,189,3,114
7600,553,1285,429,49,170,3,67
7700,1020,2084,673,63,119,2,110
7800,1592,2353,598,92,233,3,204
7900,1313,2333,818,63,173,4,150
8000,1158,2508,536,70,259,4,168
8100,1788,2102,606,102,313,3,251
8200,1462,2925,833,104,310,2,223
8300,1088,1948,545,72,239,5,198
8400,1235,1245,291,52,156,0,196
8500,1710,2734,756,99,311,8,333
8600,1703,2207,515,133,421,9,331
8700,2028,3352,615,152,355,6,353
8800,993,1699,256,64,171,3,186
8900,1004,1499,280,68,212,3,179
9000,1878,3200,641,86,308,8,165
9100,1406,3183,567,134,415,4,147
9200,1714,2370,218,121,379,4,221
9300,1682,1948,179,102,312,3,173
9400,551,396,24,31,94,1,98
9500,636,954,61,59,147,2,39
9600,1315,1407,125,63,137,0,231
9700,846,1875,80,62,207,5,139
