"calBP","pasMM"
700,211
800,201
900,231
1000,169
1100,225
1200,245
1300,213
1400,197
1500,191
1600,166
1700,89
1800,139
1900,167
2000,149
2100,129
2200,47
2300,125
2400,156
2500,57
2600,120
2700,53
2800,53
2900,145
3000,48
3100,91
3200,60
3300,69
3400,100
3500,35
3600,107
3700,92
3800,69
3900,89
4000,55
4100,98
4200,22
4300,52
4400,55
4500,18
4600,66
4700,51
4800,46
4900,14
5000,72
5100,48
5200,35
5300,71
5400,41
5500,46
5600,67
5700,40
5800,74
5900,40
6000,24
6100,61
6200,33
6300,29
6400,61
6500,33
6600,57
6700,59
6800,21
6900,52
7000,68
7100,9
7200,80
7300,23
7400,77
7500,69
7600,19
7700,59
7800,53
7900,24
8000,71
8100,100
8200,109
8300,144
8400,63
8500,119
8600,84
8700,73
8800,83
8900,47
9000,81
9100,98
9200,48
9300,79
9400,115
9500,94
9600,120
9700,136
