"calBP","pasMW"
700,266
800,387
900,431
1000,449
1100,738
1200,487
1300,618
1400,158
1500,245
1600,173
1700,223
1800,369
1900,144
2000,426
2100,189
2200,82
2300,292
2400,269
2500,183
2600,150
2700,123
2800,256
2900,175
3000,175
3100,129
3200,322
3300,146
3400,312
3500,137
3600,342
3700,186
3800,209
3900,137
4000,212
4100,209
4200,172
4300,81
4400,137
4500,72
4600,103
4700,161
4800,52
4900,208
5000,64
5100,133
5200,83
5300,112
5400,88
5500,58
5600,163
5700,117
5800,129
5900,114
6000,124
6100,47
6200,125
6300,64
6400,161
6500,125
6600,91
6700,86
6800,4
6900,159
7000,36
7100,43
7200,102
7300,38
7400,99
7500,42
7600,100
7700,39
7800,60
7900,87
8000,73
8100,80
8200,32
8300,116
8400,48
8500,43
8600,126
8700,187
8800,49
8900,128
9000,93
9100,189
9200,119
9300,161
9400,113
9500,71
9600,92
9700,149
