"calBP","pasN"
1400,162
1500,151
1600,407
1700,220
1800,199
1900,212
2000,214
2100,175
2200,84
2300,178
2400,237
2500,189
2600,198
2700,165
2800,158
2900,228
3000,103
3100,198
3200,136
3300,158
3400,130
3500,177
3600,148
3700,47
3800,225
3900,121
4000,130
4100,149
4200,167
4300,67
4400,122
4500,112
4600,92
4700,144
4800,180
4900,151
5000,102
5100,149
5200,70
5300,133
5400,129
5500,105
5600,147
5700,72
5800,217
5900,116
6000,96
6100,149
6200,54
6300,138
6400,70
6500,126
6600,129
6700,85
6800,92
6900,88
7000,89
7100,167
7200,65
7300,164
7400,104
7500,187
7600,254
7700,114
7800,140
7900,204
8000,216
8100,208
8200,143
8300,298
8400,74
8500,332
8600,143
8700,293
8800,152
8900,230
9000,218
9100,68
9200,335
9300,152
9400,101
9500,141
9600,172
9700,180
