"calBP","pasSE"
500,696
600,622
700,353
800,272
900,370
1000,267
1100,471
1200,600
1300,479
1400,285
1500,101
1600,64
1700,78
1800,65
1900,76
2000,30
2100,65
2200,242
2300,33
2400,75
2500,35
2600,37
2700,61
2800,53
2900,61
3000,77
3100,103
3200,107
3300,195
3400,165
3500,92
3600,95
3700,81
3800,87
3900,97
4000,44
4100,71
4200,92
4300,79
4400,51
4500,47
4600,29
4700,109
4800,36
4900,11
5000,21
5100,24
5200,25
5300,141
5400,48
5500,17
5600,13
5700,65
5800,41
5900,24
6000,55
6100,43
6200,36
6300,51
6400,44
6500,27
6600,51
6700,100
6800,50
6900,43
7000,51
7100,57
7200,165
7300,73
7400,35
7500,46
7600,59
7700,138
7800,31
7900,11
8000,66
8100,34
8200,158
8300,98
8400,56
8500,75
8600,50
8700,516
8800,231
8900,62
9000,517
9100,104
9200,445
9300,215
9400,254
9500,268
9600,201
9700,252
