"calBP","pasSM"
1400,889
1500,1734
1600,1553
1700,910
1800,1206
1900,639
2000,583
2100,698
2200,1408
2300,1222
2400,572
2500,686
2600,644
2700,843
2800,631
2900,825
3000,641
3100,619
3200,532
3300,391
3400,35
3500,5
3600,291
3700,347
3900,324
4000,366
4100,7
4200,244
4300,178
4400,23
4500,187
4600,22
4700,130
4800,20
4900,7
5000,157
5100,115
5200,142
5300,107
5400,10
5500,158
5600,157
5700,130
5800,7
5900,128
6000,1
6100,130
6200,29
6300,151
6400,92
6500,147
6600,85
6700,123
6800,98
6900,81
7000,97
7100,120
7200,191
7300,158
7400,94
7500,116
7600,85
7700,72
7800,31
7900,128
8000,649
8100,268
8200,133
8300,156
8400,208
8500,81
8600,174
8700,206
8800,244
8900,192
9000,180
9100,301
9200,218
9300,239
9400,314
9500,192
9600,340
9700,313
