"calBP","pasSW"
700,442
800,749
900,420
1000,633
1100,525
1200,346
1300,372
1400,407
1500,348
1600,347
1700,400
1800,462
1900,652
2000,388
2100,256
2200,460
2300,431
2400,303
2500,461
2600,304
2700,408
2800,315
2900,351
3000,323
3100,246
3200,261
3300,142
3400,345
3500,260
3600,138
3700,271
3800,183
3900,175
4000,161
4100,231
4200,214
4300,69
4400,224
4500,187
4600,107
4700,188
4800,201
4900,138
5000,137
5100,214
5200,193
5300,103
5400,203
5500,179
5600,245
5700,94
5800,327
5900,129
6000,210
6100,92
6200,167
6300,109
6400,216
6500,88
6600,240
6700,175
6800,38
6900,186
7000,219
7100,102
7200,189
7300,154
7400,151
7500,189
7600,170
7700,119
7800,233
7900,173
8000,259
8100,313
8200,310
8300,239
8400,156
8500,311
8600,421
8700,355
8800,171
8900,212
9000,308
9100,415
9200,379
9300,312
9400,94
9500,147
9600,137
9700,207
