"calBP","wetmMM"
700,93
800,96
900,101
1000,74
1100,125
1200,120
1300,99
1400,111
1500,104
1600,121
1700,34
1800,103
1900,98
2000,90
2100,97
2200,27
2300,86
2400,119
2500,36
2600,110
2700,46
2800,64
2900,86
3000,54
3100,77
3200,67
3300,56
3400,75
3500,33
3600,95
3700,81
3800,62
3900,71
4000,52
4100,106
4200,28
4300,60
4400,49
4500,21
4600,59
4700,40
4800,51
4900,25
5000,72
5100,45
5200,46
5300,53
5400,32
5500,43
5600,63
5700,39
5800,65
5900,64
6000,23
6100,36
6200,30
6300,27
6400,45
6500,41
6600,38
6700,66
6800,20
6900,66
7000,50
7100,28
7200,60
7300,28
7400,49
7500,66
7600,21
7700,60
7800,41
7900,22
8000,62
8100,84
8200,91
8300,101
8400,52
8500,75
8600,60
8700,73
8800,85
8900,35
9000,61
9100,82
9200,24
9300,53
9400,79
9500,78
9600,103
9700,43
