"calBP","wetmMW"
700,201
800,187
900,221
1000,240
1100,235
1200,195
1300,243
1400,174
1500,167
1600,218
1700,187
1800,196
1900,188
2000,185
2100,213
2200,110
2300,246
2400,299
2500,151
2600,218
2700,126
2800,214
2900,102
3000,124
3100,158
3200,215
3300,183
3400,283
3500,163
3600,308
3700,183
3800,187
3900,162
4000,237
4100,170
4200,120
4300,78
4400,142
4500,61
4600,136
4700,101
4800,54
4900,154
5000,90
5100,113
5200,84
5300,100
5400,65
5500,109
5600,154
5700,65
5800,128
5900,116
6000,89
6100,104
6200,122
6300,54
6400,167
6500,102
6600,58
6700,102
6800,7
6900,116
7000,23
7100,58
7200,78
7300,92
7400,69
7500,39
7600,72
7700,59
7800,97
7900,88
8000,69
8100,68
8200,46
8300,100
8400,8
8500,77
8600,112
8700,87
8800,86
8900,36
9000,64
9100,106
9200,26
9300,66
9400,68
9500,88
9600,45
9700,57
