"calBP","wetmN"
1400,160
1500,164
1600,400
1700,211
1800,259
1900,296
2000,229
2100,248
2200,156
2300,215
2400,322
2500,212
2600,315
2700,250
2800,168
2900,349
3000,147
3100,271
3200,204
3300,182
3400,164
3500,216
3600,195
3700,79
3800,255
3900,144
4000,110
4100,200
4200,238
4300,85
4400,239
4500,147
4600,197
4700,145
4800,176
4900,182
5000,121
5100,211
5200,98
5300,193
5400,211
5500,143
5600,230
5700,139
5800,333
5900,220
6000,150
6100,223
6200,113
6300,229
6400,151
6500,179
6600,124
6700,201
6800,148
6900,99
7000,154
7100,288
7200,70
7300,207
7400,131
7500,250
7600,250
7700,106
7800,170
7900,199
8000,124
8100,150
8200,144
8300,179
8400,46
8500,248
8600,98
8700,159
8800,53
8900,137
9000,134
9100,72
9200,170
9300,66
9400,108
9500,59
9600,101
9700,129
