"calBP","wetmSE"
500,254
600,216
700,165
800,123
900,150
1000,198
1100,347
1200,389
1300,271
1400,193
1500,79
1600,68
1700,45
1800,84
1900,72
2000,26
2100,67
2200,137
2300,22
2400,72
2500,18
2600,114
2700,56
2800,28
2900,98
3000,50
3100,69
3200,93
3300,260
3400,405
3500,30
3600,55
3700,85
3800,77
3900,95
4000,54
4100,48
4200,150
4300,95
4400,83
4500,142
4600,41
4700,414
4800,66
4900,22
5000,20
5100,47
5200,31
5300,18
5400,84
5500,31
5600,32
5700,30
5800,20
5900,42
6000,61
6100,50
6200,12
6300,120
6400,44
6500,66
6600,119
6700,32
6800,54
6900,22
7000,29
7100,108
7200,267
7300,81
7400,41
7500,35
7600,95
7700,70
7800,61
7900,17
8000,65
8100,83
8200,44
8300,110
8400,28
8500,155
8600,40
8700,90
8800,267
8900,34
9000,168
9100,568
9200,117
9300,146
9400,716
9500,732
9600,127
9700,32
