"calBP","wetmSM"
1400,132
1500,166
1600,153
1700,98
1800,173
1900,85
2000,63
2100,83
2200,156
2300,118
2400,94
2500,76
2600,49
2700,42
2800,41
2900,58
3000,39
3100,56
3200,42
3300,25
3400,4
3500,1
3600,27
3700,18
3900,16
4000,28
4100,0
4200,19
4300,6
4400,4
4500,21
4600,5
4700,10
4800,8
4900,1
5000,20
5100,2
5200,25
5300,25
5400,2
5500,16
5600,17
5700,15
5800,8
5900,22
6000,1
6100,21
6200,15
6300,26
6400,14
6500,21
6600,12
6700,21
6800,5
6900,17
7000,17
7100,19
7200,27
7300,20
7400,333
7500,125
7600,26
7700,82
7800,45
7900,17
8000,22
8100,32
8200,24
8300,27
8400,46
8500,18
8600,18
8700,27
8800,43
8900,29
9000,17
9100,31
9200,23
9300,60
9400,56
9500,17
9600,30
9700,40
