"calBP","wetmSW"
700,278
800,470
900,199
1000,306
1100,307
1200,164
1300,249
1400,148
1500,193
1600,204
1700,298
1800,381
1900,416
2000,329
2100,188
2200,259
2300,228
2400,171
2500,274
2600,229
2700,177
2800,221
2900,217
3000,201
3100,157
3200,162
3300,75
3400,209
3500,159
3600,100
3700,171
3800,126
3900,104
4000,83
4100,131
4200,174
4300,39
4400,143
4500,146
4600,56
4700,103
4800,98
4900,61
5000,80
5100,155
5200,67
5300,78
5400,81
5500,95
5600,129
5700,60
5800,173
5900,54
6000,90
6100,86
6200,82
6300,70
6400,141
6500,57
6600,107
6700,83
6800,39
6900,91
7000,120
7100,26
7200,84
7300,73
7400,79
7500,46
7600,49
7700,63
7800,92
7900,63
8000,70
8100,102
8200,104
8300,72
8400,52
8500,99
8600,133
8700,152
8800,64
8900,68
9000,86
9100,134
9200,121
9300,102
9400,31
9500,59
9600,63
9700,62
