"calBP","wetwMM"
700,232
800,264
900,387
1000,333
1100,229
1200,454
1300,468
1400,484
1500,462
1600,520
1700,379
1800,491
1900,538
2000,582
2100,694
2200,380
2300,550
2400,682
2500,454
2600,667
2700,606
2800,769
2900,740
3000,651
3100,677
3200,797
3300,604
3400,586
3500,450
3600,512
3700,876
3800,810
3900,622
4000,571
4100,801
4200,504
4300,474
4400,670
4500,300
4600,655
4700,565
4800,521
4900,390
5000,611
5100,811
5200,643
5300,623
5400,390
5500,713
5600,945
5700,501
5800,599
5900,848
6000,519
6100,476
6200,490
6300,751
6400,547
6500,690
6600,907
6700,794
6800,518
6900,733
7000,823
7100,700
7200,764
7300,799
7400,1001
7500,1263
7600,478
7700,1406
7800,835
7900,691
8000,753
8100,1062
8200,1020
8300,978
8400,747
8500,996
8600,810
8700,1057
8800,682
8900,705
9000,804
9100,547
9200,585
9300,331
9400,197
9500,161
9600,151
9700,138
