"calBP","wetwMW"
700,406
800,233
900,136
1000,210
1100,271
1200,137
1300,355
1400,88
1500,156
1600,201
1700,127
1800,344
1900,126
2000,201
2100,225
2200,100
2300,298
2400,197
2500,106
2600,220
2700,155
2800,272
2900,98
3000,219
3100,239
3200,268
3300,147
3400,351
3500,140
3600,564
3700,134
3800,239
3900,300
4000,243
4100,340
4200,213
4300,53
4400,241
4500,84
4600,233
4700,236
4800,75
4900,340
5000,214
5100,215
5200,217
5300,205
5400,107
5500,244
5600,292
5700,207
5800,355
5900,406
6000,169
6100,239
6200,396
6300,252
6400,665
6500,589
6600,352
6700,289
6800,82
6900,722
7000,180
7100,388
7200,474
7300,407
7400,578
7500,193
7600,541
7700,311
7800,362
7900,549
8000,350
8100,239
8200,433
8300,434
8400,11
8500,342
8600,174
8700,175
8800,204
8900,129
9000,180
9100,173
9200,110
9300,115
9400,130
9500,86
9600,58
9700,127
