"calBP","wetwN"
1400,131
1500,111
1600,260
1700,209
1800,137
1900,163
2000,212
2100,152
2200,111
2300,194
2400,418
2500,165
2600,234
2700,127
2800,207
2900,176
3000,154
3100,205
3200,193
3300,166
3400,131
3500,219
3600,173
3700,326
3800,296
3900,221
4000,195
4100,259
4200,230
4300,154
4400,286
4500,188
4600,169
4700,188
4800,224
4900,251
5000,292
5100,210
5200,252
5300,398
5400,233
5500,483
5600,350
5700,276
5800,584
5900,265
6000,698
6100,408
6200,279
6300,483
6400,248
6500,536
6600,257
6700,432
6800,453
6900,214
7000,425
7100,603
7200,200
7300,561
7400,536
7500,448
7600,732
7700,277
7800,550
7900,627
8000,423
8100,347
8200,144
8300,188
8400,87
8500,216
8600,115
8700,148
8800,62
8900,148
9000,155
9100,151
9200,149
9300,26
9400,95
9500,32
9600,147
9700,109
