"calBP","wetwSE"
500,1965
600,3001
700,906
800,940
900,1453
1000,1060
1100,1190
1200,1222
1300,1239
1400,2640
1500,1346
1600,746
1700,1099
1800,881
1900,866
2000,603
2100,1386
2200,2187
2300,988
2400,1044
2500,505
2600,1055
2700,806
2800,942
2900,585
3000,1102
3100,1629
3200,1028
3300,781
3400,1064
3500,754
3600,648
3700,957
3800,912
3900,982
4000,575
4100,989
4200,1604
4300,1047
4400,1612
4500,782
4600,509
4700,396
4800,712
4900,188
5000,502
5100,214
5200,1521
5300,586
5400,457
5500,534
5600,255
5700,1158
5800,407
5900,505
6000,693
6100,327
6200,416
6300,713
6400,625
6500,372
6600,885
6700,641
6800,624
6900,293
7000,451
7100,852
7200,495
7300,612
7400,472
7500,576
7600,617
7700,740
7800,436
7900,452
8000,823
8100,502
8200,1023
8300,1105
8400,697
8500,813
8600,593
8700,930
8800,889
8900,624
9000,635
9100,675
9200,696
9300,556
9400,516
9500,338
9600,487
9700,147
