"calBP","wetwSW"
700,612
800,839
900,533
1000,842
1100,506
1200,483
1300,427
1400,459
1500,651
1600,556
1700,839
1800,478
1900,890
2000,436
2100,486
2200,707
2300,615
2400,494
2500,846
2600,466
2700,540
2800,520
2900,580
3000,641
3100,643
3200,465
3300,628
3400,740
3500,631
3600,412
3700,674
3800,507
3900,358
4000,217
4100,717
4200,315
4300,219
4400,548
4500,583
4600,140
4700,684
4800,317
4900,303
5000,420
5100,270
5200,685
5300,258
5400,660
5500,362
5600,561
5700,307
5800,723
5900,512
6000,568
6100,738
6200,587
6300,746
6400,629
6500,632
6600,761
6700,440
6800,303
6900,580
7000,683
7100,423
7200,532
7300,549
7400,925
7500,643
7600,429
7700,673
7800,598
7900,818
8000,536
8100,606
8200,833
8300,545
8400,291
8500,756
8600,515
8700,615
8800,256
8900,280
9000,641
9100,567
9200,218
9300,179
9400,24
9500,61
9600,125
9700,80
