"","human.footprint.Age","human.footprint.Material"
"1",35,"Wood"
"2",45,"charcoal"
"3",46,"Wood"
"4",55,"charcoal"
"5",60,""
"6",70,"Wood"
"7",75,"Wood"
"8",80,"macrofossil"
"9",80,"Charcoal"
"10",84,"Wood"
"11",90,"charcoal"
"12",90,"charcoal"
"13",90,"charcoal"
"14",90,"macrofossil"
"15",90,"Charcoal"
"16",92,"Charcoal"
"17",93,"Charcoal"
"18",97,"Charcoal"
"19",97,"Charcoal"
"20",99,"Charcoal"
"21",100,"bone"
"22",100,"charcoal"
"23",100,"charcoal"
"24",100,"Charcoal"
"25",100,"Charcoal"
"26",100,"Wood"
"27",100,"Burned  bone"
"28",103,"Charcoal"
"29",103,"Charcoal"
"30",104,"Charcoal"
"31",104,"Charcoal"
"32",105,"charcoal"
"33",106,"Charcoal"
"34",107,"Charcoal"
"35",107,"Charcoal"
"36",108,"Wood"
"37",108,"Charcoal"
"38",110,"charcoal"
"39",110,"charcoal"
"40",110,"charcoal"
"41",110,"Nutshell"
"42",110,"wood"
"43",110,"Burned bone"
"44",111,"Charcoal"
"45",111,"Charcoal"
"46",112,"Wood"
"47",115,"charcoal"
"48",115,"charcoal"
"49",115,"Charcoal"
"50",120,"wood"
"51",120,"charred wood"
"52",120,"charcoal"
"53",121,"Charcoal"
"54",129,"Wood"
"55",129,"Charcoal"
"56",130,"Charcoal"
"57",130,""
"58",130,"wood"
"59",130,"charcoal"
"60",130,"charcoal"
"61",131,"Charcoal"
"62",132,"Charcoal"
"63",132,"Charcoal"
"64",135,"Burned bone"
"65",135,"Charcoal"
"66",135,"Wood"
"67",138,"Charcoal"
"68",140,"Charcoal"
"69",140,"charcoal"
"70",140,"charcoal"
"71",140,"charcoal"
"72",140,"macrofossil"
"73",140,"charcoal"
"74",140,"wood"
"75",140,"Charcoal"
"76",140,"Charcoal"
"77",140,"Charcoal"
"78",142,"Charcoal"
"79",144,"Charcoal"
"80",145,"Burned bone"
"81",145,"charcoal"
"82",145,"charcoal"
"83",145,"Charcoal"
"84",149,"Charcoal"
"85",149,"Charcoal"
"86",150,"Charcoal"
"87",150,"bone"
"88",150,"wood"
"89",150,"charcoal"
"90",150,"Charcoal"
"91",150,"Charcoal"
"92",153,"Charcoal"
"93",155,"macrofossil"
"94",156,"Wood"
"95",157,"Charcoal"
"96",158,"Nutshell"
"97",159,"Charcoal"
"98",160,"mortar"
"99",160,"charcoal"
"100",160,"charcoal"
"101",160,"Charcoal"
"102",160,"Nutshell"
"103",160,"Wood"
"104",160,"Wood"
"105",160,"Charcoal"
"106",164,"Peat"
"107",165,"charcoal"
"108",165,"Charcoal"
"109",167,"Charcoal"
"110",168,"Charcoal"
"111",169,"Charcoal"
"112",170,"Charcoal"
"113",170,"wood"
"114",170,"charcoal"
"115",170,"charcoal"
"116",170,"charcoal"
"117",170,"charcoal"
"118",172,"Charcoal"
"119",172,"Charcoal"
"120",175,"wood"
"121",175,"Charcoal"
"122",176,"Charcoal"
"123",177,"Charcoal"
"124",177,"Charcoal"
"125",178,"Charcoal"
"126",179,"Cereal"
"127",180,"charcoal"
"128",180,"charcoal"
"129",180,"charcoal"
"130",180,"charcoal"
"131",180,"Charcoal"
"132",180,"Charcoal"
"133",180,"Wood"
"134",182,"Charcoal"
"135",183,"bone"
"136",184,"Charcoal"
"137",185,"charcoal"
"138",185,"Charcoal"
"139",185,"Charcoal"
"140",190,"Charcoal"
"141",190,"Charcoal"
"142",190,"Charcoal"
"143",190,"charcoal"
"144",190,"Charcoal"
"145",190,"charcoal"
"146",190,"Charcoal"
"147",190,"Charcoal"
"148",190,"Charcoal"
"149",193,"Nutshell"
"150",194,"Wood"
"151",195,"charcoal"
"152",197,"Charcoal"
"153",200,"Charcoal"
"154",203,"Charcoal"
"155",204,"Charcoal"
"156",205,"Charcoal"
"157",205,"Charcoal"
"158",207,"Charcoal"
"159",210,"charcoal"
"160",210,"wood"
"161",210,"wood"
"162",210,"charcoal"
"163",210,"bone"
"164",210,"Wood"
"165",211,"Charcoal"
"166",211,"Charcoal"
"167",213,"Charcoal"
"168",215,"charcoal"
"169",215,"Charcoal"
"170",220,"Cereal"
"171",220,"bone"
"172",220,"Charcoal"
"173",220,"Wood"
"174",220,"Charcoal"
"175",225,"charcoal"
"176",225,"Charcoal"
"177",225,"Charcoal"
"178",227,"Charcoal"
"179",230,"wood"
"180",230,"charcoal"
"181",230,"charcoal"
"182",232,"Charcoal"
"183",232,"Charcoal"
"184",234,"Charcoal"
"185",234,"Charcoal"
"186",235,"charcoal"
"187",235,"Charcoal"
"188",235,"Charcoal"
"189",235,"Charcoal"
"190",235,"Cereal"
"191",236,"Charcoal"
"192",239,"bone"
"193",240,"Charcoal"
"194",240,"charcoal"
"195",240,"charcoal"
"196",240,"bone"
"197",240,"Charcoal"
"198",240,"Charcoal"
"199",245,"Charcoal"
"200",245,"Charcoal"
"201",245,"Charcoal"
"202",248,"Charcoal"
"203",249,"Charcoal"
"204",249,"Charcoal"
"205",250,"charcoal"
"206",250,"charcoal"
"207",250,"wood"
"208",250,"charcoal"
"209",250,"Wood"
"210",250,"Charcoal"
"211",250,"Charcoal"
"212",250,"Charcoal"
"213",250,"Charcoal"
"214",254,"Wood"
"215",255,"Charcoal"
"216",256,"Charcoal"
"217",260,""
"218",260,"bone"
"219",260,"wood"
"220",260,"wood"
"221",260,"mortar"
"222",260,"Wood"
"223",260,"Wood"
"224",261,"Charcoal"
"225",262,"Charcoal"
"226",262,"Charcoal"
"227",264,"Charcoal"
"228",265,"Charcoal"
"229",265,"charcoal"
"230",266,"Charcoal"
"231",270,"Charcoal"
"232",270,"bone"
"233",270,"wood"
"234",270,"charcoal"
"235",270,"Charcoal"
"236",270,"Charcoal"
"237",272,"Charcoal"
"238",273,"Wood"
"239",280,"charcoal"
"240",280,"wood"
"241",280,"wood"
"242",280,"charcoal"
"243",280,"charcoal"
"244",280,"charcoal"
"245",280,"Charcoal"
"246",280,"Wood"
"247",280,"Charcoal"
"248",280,"Charcoal"
"249",281,"Charcoal"
"250",283,"Charcoal"
"251",284,"Charcoal"
"252",284,"Charcoal"
"253",284,"Wood"
"254",286,"Charcoal"
"255",286,"Charcoal"
"256",288,"Charcoal"
"257",290,"charcoal"
"258",290,"charcoal"
"259",290,"charcoal"
"260",290,"charcoal"
"261",290,"wood"
"262",290,"charcoal"
"263",290,"wood"
"264",290,"Wood"
"265",290,"Charcoal"
"266",290,"Wood"
"267",291,"Birchbark"
"268",298,"Charcoal"
"269",300,""
"270",300,"peat"
"271",300,"wood"
"272",300,"charcoal"
"273",300,"Wood"
"274",300,"Wood"
"275",300,"Charcoal"
"276",300,"Charcoal"
"277",305,"Charcoal"
"278",305,"Hazel nutshell"
"279",305,"Charcoal"
"280",309,"Charcoal"
"281",310,"wood"
"282",310,"charcoal"
"283",310,"wood"
"284",310,"charcoal"
"285",310,"Charcoal"
"286",310,"Charcoal"
"287",312,"Wood"
"288",313,"Charcoal"
"289",313,"Charcoal"
"290",313,"Charcoal"
"291",315,"charcoal"
"292",315,"Charcoal"
"293",315,"Wood"
"294",315,"Charcoal"
"295",316,"Charcoal"
"296",320,"Charcoal"
"297",320,"charcoal"
"298",320,"wood"
"299",320,"charcoal"
"300",320,"charcoal"
"301",320,"Wood"
"302",320,"Charcoal"
"303",320,"Charcoal"
"304",320,"Nutshell"
"305",325,"Charcoal"
"306",325,"Wood"
"307",326,"Charcoal"
"308",326,"Charcoal"
"309",327,"Charcoal"
"310",330,"charcoal"
"311",330,"charcoal"
"312",330,"charcoal"
"313",330,"charcoal"
"314",330,"macrofossil"
"315",330,"Charcoal"
"316",330,"Charcoal"
"317",330,"bone"
"318",330,"Charcoal"
"319",330,"Charcoal"
"320",330,"Wood"
"321",330,"Charcoal"
"322",333,"Charcoal"
"323",333,"Charcoal"
"324",335,"charcoal"
"325",335,"Charcoal"
"326",335,"Charcoal"
"327",335,"Charcoal"
"328",336,"Charcoal"
"329",336,"Charcoal"
"330",337,"Charcoal"
"331",338,"Charcoal"
"332",339,"Charcoal"
"333",340,"charcoal"
"334",340,"charcoal"
"335",340,"Charcoal"
"336",340,"charcoal"
"337",340,"Wood"
"338",340,"Charcoal"
"339",340,"Charcoal"
"340",346,"Charcoal"
"341",348,"Charcoal"
"342",350,"Charcoal"
"343",350,"wood"
"344",350,"charcoal"
"345",350,"wood"
"346",350,"charcoal"
"347",350,"mortar"
"348",350,"charcoal"
"349",350,"Charcoal"
"350",350,"Charcoal"
"351",352,"Charcoal"
"352",355,"Charcoal"
"353",359,"Birchbark"
"354",360,"charcoal"
"355",360,"Birchbark"
"356",360,"Charcoal"
"357",362,"Charcoal"
"358",365,"Charcoal"
"359",368,"Hazel nutshell"
"360",370,"wood"
"361",370,"bone"
"362",370,"mortar"
"363",370,"charcoal"
"364",370,"charcoal"
"365",370,"Charcoal"
"366",370,"bone"
"367",370,"Wood"
"368",370,"Charcoal"
"369",370,"Charcoal"
"370",374,"Husk"
"371",380,"charcoal"
"372",380,"mortar"
"373",380,"charcoal"
"374",380,"charcoal"
"375",380,"Charcoal"
"376",380,"Wood"
"377",380,"Wood"
"378",380,"Charcoal"
"379",380,"Charcoal"
"380",386,"Charcoal"
"381",389,"Charcoal"
"382",390,"Charcoal"
"383",390,"charcoal"
"384",390,"charcoal"
"385",390,"charcoal"
"386",390,"charcoal"
"387",390,"Charcoal"
"388",390,"Wood"
"389",390,"Charcoal"
"390",390,"Charcoal"
"391",391,"Charcoal"
"392",392,"Birchbark"
"393",393,"Charcoal"
"394",393,"Charcoal"
"395",394,"Charcoal"
"396",395,"Charcoal"
"397",395,"Charcoal"
"398",398,"Charcoal"
"399",400,"charcoal"
"400",400,"Charcoal"
"401",400,"Bone"
"402",400,"Charcoal"
"403",400,"Charcoal"
"404",400,"Charcoal"
"405",400,"Charcoal"
"406",400,"Hazel nutshell"
"407",402,"Charcoal"
"408",405,"Charcoal"
"409",409,"Birchbark"
"410",410,"wood"
"411",410,"bone"
"412",410,"charcoal"
"413",410,"charcoal"
"414",410,"charcoal"
"415",410,"Charcoal"
"416",410,"Charcoal"
"417",412,"Charcoal"
"418",413,"Seed"
"419",417,"Charcoal"
"420",420,"wood"
"421",420,"charcoal"
"422",420,"wood"
"423",420,"charcoal"
"424",420,"charcoal"
"425",420,"charcoal"
"426",420,"charcoal"
"427",420,"mortar"
"428",420,"Wood/Charcoal"
"429",420,"Charcoal"
"430",420,"Wood"
"431",420,"Charcoal"
"432",423,"Charcoal"
"433",423,"Charcoal"
"434",425,"Charcoal"
"435",428,"Charcoal"
"436",429,"Charcoal"
"437",430,"charcoal"
"438",430,"charcoal"
"439",430,"mortar"
"440",430,"Wood"
"441",430,"Charcoal"
"442",430,"Hazel nutshell"
"443",431,"Charcoal"
"444",434,"Charcoal"
"445",435,"Nutshell"
"446",436,"Wood"
"447",438,"Charcoal"
"448",440,"bone"
"449",440,"charcoal"
"450",440,"charcoal"
"451",440,"charcoal"
"452",440,"bone"
"453",440,"Charcoal"
"454",447,"Charcoal"
"455",447,"Charcoal"
"456",449,"Charcoal"
"457",450,"charcoal"
"458",450,"charcoal"
"459",450,"Charcoal"
"460",450,"Charcoal"
"461",450,"Carboniferous soil"
"462",450,"charcoal"
"463",450,"Charcoal"
"464",453,"Charcoal"
"465",455,"Charcoal"
"466",455,"Charcoal"
"467",457,"Charcoal"
"468",459,"Charcoal"
"469",460,"charcoal"
"470",460,"Charcoal"
"471",460,"Charcoal"
"472",460,"Birchbark"
"473",464,"Charcoal"
"474",465,"Charcoal"
"475",465,"Charcoal"
"476",465,"Charcoal"
"477",468,"Charcoal"
"478",469,"Charcoal"
"479",470,"charcoal"
