"","LabID","weighted_mean","long","lat","Material"
"1","AA 1841",4925.8180454054,13.91,55.48,"plant macrofossils"
"2","AA 1842",4708.54340305918,13.8992,55.4738,"plant macrofossils"
"3","AA-1841",4925.8180454054,13.89239,55.46033,"grain"
"4","AA-1842",4722.58104839253,13.8992,55.4738,"grain"
"5","AA-1845",3718.4559999472,13.89239,55.46033,"grain"
"6","AA-1846",3797.46322261947,13.89239,55.46033,"grain"
"7","AA1841",4925.8180454054,13.8924,55.4603,"grain"
"8","AA1842",4708.54340305918,13.8992,55.4738,"grain"
"9","AA1845",3718.4559999472,13.8924,55.4603,"grain"
"10","AA1846",3797.46322261947,13.8924,55.4603,"grain"
"11","AAR 10233",5059.06811024072,13.5781,58.1698,"bone"
"12","AAR 10239",4729.11566304953,13.6328,58.1901,"bone"
"13","AAR 11205",3990.19635585045,11.7297,57.7394,"bone"
"14","AAR-10237",5073.1262125549,13.60635,58.22955,"collagen bone"
"15","AAR-16884",9544.1123127738,10.046246,59.078517,"Birch bark tar"
"16","AAr-10238",5157.2347810708,13.6063,58.2295,"human bone"
"17","ANL-1306",4011.68468030034,16.06605,56.44827,""
"18","ANL-1358",3850.27122564666,16.06605,56.44827,""
"19","ANL-1373",5160.69086976999,16.06605,56.44827,""
"20","ANL-1395",4208.36850802666,16.06605,56.44827,"charcoal"
"21","ANL-1396",3880.19994809902,16.06605,56.44827,""
"22","ANL-1409",4490.69872678874,16.06605,56.44827,"charcoal"
"23","ANL-1412",4270.25239269694,16.06605,56.44827,""
"24","ANL-1415",4195.83474868294,16.06605,56.44827,""
"25","BETA-326856",1647.45862626907,9.9141,61.5668,"Charcoal"
"26","BETA-326857",3558.87030725358,9.9141,61.5668,"Charcoal"
"27","BETA-326858",1461.11625340455,9.9141,61.5668,"Charcoal"
"28","BETA-326859",1778.3451825187,9.9141,61.5668,"Charcoal"
"29","BETA-326860",1647.45862626907,9.9141,61.5668,"Charcoal"
"30","BM410",5579.20911992317,13.11,55.58,""
"31","Beta - 377749",1654.54088415037,10.4,59.28,"Charcoal"
"32","Beta - 377750",1760.94019663818,10.4,59.28,"Charcoal"
"33","Beta -242246",665.132738940181,10.4,59.28,"Charcoal"
"34","Beta -242247",646.131301459403,10.4,59.28,"Charcoal"
"35","Beta -242248",838.783753356282,10.4,59.28,"Charcoal"
"36","Beta -242249",853.990445087602,10.4,59.28,"Charcoal"
"37","Beta -242250",667.044340665544,10.4,59.28,"Charcoal"
"38","Beta -257004",984.50366459178,10.4,59.28,"Charcoal"
"39","Beta -257005",727.991363847304,10.4,59.28,"Charcoal"
"40","Beta 34671",4312.48141144534,15.5894,58.4295,"charcoal"
"41","Beta 36585",5123.62576486868,16.4919,56.2671,"charcoal"
"42","Beta 36820",4633.97900819988,17.7065,59.2885,"charcoal"
"43","Beta 37188",4776.27106533711,15.6346,58.4209,"charcoal"
"44","Beta 37682",5793.61217417879,17.75,59.1667,"charcoal"
"45","Beta 426057",3533.58577947243,11.39,59.13,"Charcoal"
"46","Beta 426058",3224.82380299346,11.39,59.13,"Charcoal"
"47","Beta 426059",2911.46438755485,11.39,59.13,"Charcoal"
"48","Beta 46408",10439.648180749,12.91,56.66,"charcoal"
"49","Beta 61799",4461.01288273362,15.5991,58.4311,"charcoal"
"50","Beta 63329",4465.9733678512,18.0867,59.4651,"charcoal"
"51","Beta 70635",5431.58566334918,13.0435,56.5133,"food residue"
"52","Beta 71664",5130.6394250784,12.6833,56.75,"charcoal"
"53","Beta-104892",1733.36067272761,10.74,59.38,"Charcoal"
"54","Beta-199506",3095.69867483081,10.371515,59.315511,"Charcoal"
"55","Beta-199507",1555.84276719262,10.371515,59.315511,"Charcoal"
"56","Beta-199508",1883.85204225388,10.371515,59.315511,"Charcoal"
"57","Beta-199509",3161.68581890389,10.371515,59.315511,"Charcoal"
"58","Beta-199510",2035.95978383278,10.371515,59.315511,"Charcoal"
"59","Beta-199511",2045.25401884785,10.371515,59.315511,"Charcoal"
"60","Beta-199512",584.082268594816,10.371515,59.315511,"Charcoal"
"61","Beta-199513",1805.11957765812,10.371515,59.315511,"Charcoal"
"62","Beta-199514",171.675586883409,10.371515,59.315511,"Charcoal"
"63","Beta-199515",1838.13213818607,10.371515,59.315511,"Charcoal"
"64","Beta-199516",617.928334691229,10.371515,59.315511,"Charcoal"
"65","Beta-199517",1927.16987866165,10.371515,59.315511,"Charcoal"
"66","Beta-199518",857.960151216774,10.371515,59.315511,"Charcoal"
"67","Beta-199519",996.985758338895,10.371515,59.315511,"Charcoal"
"68","Beta-199520",1669.53605310859,10.371515,59.315511,"Charcoal"
"69","Beta-199521",1121.30685607194,10.371515,59.315511,"Charcoal"
"70","Beta-199522",737.433917804211,10.371515,59.315511,"Charcoal"
"71","Beta-199523",675.002344403061,10.371515,59.315511,"Charcoal"
"72","Beta-199524",1921.63164749433,10.371515,59.315511,"Charcoal"
"73","Beta-199525",1921.63164749433,10.371515,59.315511,"Charcoal"
"74","Beta-199526",1620.55125969095,10.371515,59.315511,"Charcoal"
"75","Beta-199527",1782.6254662337,10.371515,59.315511,"Charcoal"
"76","Beta-199528",2388.79303879357,10.371515,59.315511,"Charcoal"
"77","Beta-199529",2019.07616762329,10.371515,59.315511,"Charcoal"
"78","Beta-199530",1937.441960476,10.371515,59.315511,"Charcoal"
"79","Beta-199531",1828.62301954539,10.371515,59.315511,"Charcoal"
"80","Beta-199532",1669.53605310859,10.371515,59.315511,"Charcoal"
"81","Beta-199533",1530.58266574833,10.371515,59.315511,"Charcoal"
"82","Beta-199534",1849.33971818246,10.371515,59.315511,"Charcoal"
"83","Beta-199535",6849.23762970086,10.371515,59.315511,"Charcoal"
"84","Beta-199536",1805.11957765812,10.371515,59.315511,"Charcoal"
"85","Beta-199537",782.064790403805,10.371515,59.315511,"Charcoal"
"86","Beta-199538",3576.56959362602,10.371515,59.315511,"Charcoal"
"87","Beta-199539",614.782121867132,10.371515,59.315511,"Charcoal"
"88","Beta-199540",707.48555287371,10.371515,59.315511,"Charcoal"
"89","Beta-199541",1437.99565140763,10.371515,59.315511,"Charcoal"
"90","Beta-199542",137.024812345818,10.371515,59.315511,"Charcoal"
"91","Beta-199543",142.431501747153,10.371515,59.315511,"Charcoal"
"92","Beta-199544",1509.08932181402,10.371515,59.315511,"Charcoal"
"93","Beta-199545",2864.9027555633,10.371515,59.315511,"Charcoal"
"94","Beta-199546",1446.75954297149,10.371515,59.315511,"Charcoal"
"95","Beta-199547",2452.39611280114,10.371515,59.315511,"Charcoal"
"96","Beta-199548",1872.38825085401,10.371515,59.315511,"Charcoal"
"97","Beta-199549",3121.196524131,10.371515,59.315511,"Charcoal"
"98","Beta-199550",1789.86592635348,10.371515,59.315511,"Charcoal"
"99","Beta-199551",3529.97459742533,10.371515,59.315511,"Charcoal"
"100","Beta-199552",425.226443316711,10.371515,59.315511,"Charcoal"
"101","Beta-199553",2975.55812286358,10.371515,59.315511,"Charcoal"
"102","Beta-199554",2478.38370486704,10.371515,59.315511,"Charcoal"
"103","Beta-199555",2099.62545768042,10.371515,59.315511,"Charcoal"
"104","Beta-199556",328.380805491226,10.371118,59.315617,"Charcoal"
"105","Beta-199557",849.081458974381,10.371118,59.315617,"Charcoal"
"106","Beta-199558",164.599732531631,10.371118,59.315617,"Charcoal"
"107","Beta-199559",3040.15905633179,10.371118,59.315617,"Charcoal"
"108","Beta-199560",242.667810500879,10.371118,59.315617,"Charcoal"
"109","Beta-199561",3408.41602308751,10.371118,59.315617,"Charcoal"
"110","Beta-199562",386.260705102786,10.371118,59.315617,"Charcoal"
"111","Beta-199563",3488.15385859468,10.366977,59.312959,"Charcoal"
"112","Beta-199564",1384.7627151119,10.366977,59.312959,"Charcoal"
"113","Beta-199565",1476.56088856092,10.366977,59.312959,"Charcoal"
"114","Beta-201399",5768.40470102479,10.4,59.28,""
"115","Beta-201400",4079.5980751948,10.4,59.28,""
"116","Beta-201401",2392.76991634625,10.4,59.28,""
"117","Beta-204703",3453.17309824166,10.371515,59.315511,"macrofossil"
"118","Beta-204704",1770.79739303675,10.371515,59.315511,"Charcoal"
"119","Beta-204705",1133.41242735452,10.371515,59.315511,"Charcoal"
"120","Beta-204706",1183.03063544817,10.371515,59.315511,"macrofossil"
"121","Beta-204707",1224.54191736894,10.371515,59.315511,"macrofossil"
"122","Beta-204708",2609.63722677934,10.371118,59.315617,"Charcoal"
"123","Beta-204709",3296.48930973548,10.4,59.28,"Charcoal"
"124","Beta-204710",2031.79036961615,10.371515,59.315511,"macrofossil"
"125","Beta-204711",2017.47821545091,10.371515,59.315511,"macrofossil"
"126","Beta-204712",2058.18929576234,10.371515,59.315511,"macrofossil"
"127","Beta-204713",1957.75909322253,10.371515,59.315511,"macrofossil"
"128","Beta-204714",859.501109080707,10.371515,59.315511,"Charcoal"
"129","Beta-204715",2058.18929576234,10.371515,59.315511,"Charcoal"
"130","Beta-204716",2889.0989023833,10.371515,59.315511,"Charcoal"
"131","Beta-206202",1288.50256636986,10.103677,59.033717,"Wood"
"132","Beta-218455",758.329748931531,10.4,59.28,"Charcoal"
"133","Beta-218456",853.990445087602,10.4,59.28,"Charcoal"
"134","Beta-223438",2099.62545768042,5.685927,58.98697,"grain"
"135","Beta-224613",1194.13324700762,10.23,59.1,""
"136","Beta-224614",137.024812345818,10.23,59.1,""
"137","Beta-224615",1872.90624287282,10.23,59.1,""
"138","Beta-224616",1687.20918673228,10.23,59.1,""
"139","Beta-224617",1872.90624287282,10.23,59.1,""
"140","Beta-224618",1733.02285565837,10.23,59.1,""
"141","Beta-224619",1809.88041525292,10.23,59.1,""
"142","Beta-224620",1687.20918673228,10.23,59.1,""
"143","Beta-224621",1669.53605310859,10.23,59.1,""
"144","Beta-224622",288.615264267206,10.23,59.1,""
"145","Beta-224630",7470.38735312424,10.94,59.21,"Charcoal"
"146","Beta-225570",844.189499676957,11.01540275,59.31021464,"Charcoal"
"147","Beta-225571",7083.02663460243,11.01540275,59.31021464,"Charcoal"
"148","Beta-226498",2133.52443063913,5.685927,58.98697,"charcoal"
"149","Beta-227502",1733.36067272761,10.84,59.34,"Charcoal"
"150","Beta-227503",1469.71207792887,10.84,59.34,"Charcoal"
"151","Beta-227504",3170.06178063934,10.84,59.34,"Charcoal"
"152","Beta-227505",2618.06208008079,10.84,59.34,"Charcoal"
"153","Beta-227506",3066.59721657062,10.84,59.34,"Charcoal"
"154","Beta-227883",1944.63723924131,10.99477,59.250124,"Charcoal"
"155","Beta-227884",2084.78984883786,10.99477,59.250124,"Charcoal"
"156","Beta-227885",2071.13610864394,10.99477,59.250124,"charcoal"
"157","Beta-227886",2058.18929576234,10.99477,59.250124,"Charcoal"
"158","Beta-227887",2084.78984883786,10.99477,59.250124,"charcoal"
"159","Beta-227888",2197.71297409309,10.99477,59.250124,"Charcoal"
"160","Beta-227889",2236.39855498684,10.99477,59.250124,"Charcoal"
"161","Beta-227890",2084.78984883786,10.99477,59.250124,"Charcoal"
"162","Beta-227891",2031.79036961615,10.99477,59.250124,"charcoal"
"163","Beta-227892",1932.3658639598,10.99477,59.250124,"charcoal"
"164","Beta-227893",1933.1268043146,10.99477,59.250124,"Charcoal"
"165","Beta-227894",2033.68308173519,10.99477,59.250124,"charcoal"
"166","Beta-227895",2058.18929576234,10.99477,59.250124,"charcoal"
"167","Beta-227896",2783.57709469338,10.99477,59.250124,"Charcoal"
"168","Beta-227897",2115.95843173179,10.99477,59.250124,"Charcoal"
"169","Beta-227898",1986.98498893798,10.99477,59.250124,"Charcoal"
"170","Beta-227899",1920.44920105095,10.99477,59.250124,"Charcoal"
"171","Beta-227900",2168.96824621691,10.99477,59.250124,"Charcoal"
"172","Beta-227901",2133.52443063913,10.99477,59.250124,"charcoal"
"173","Beta-227902",2270.37336371137,10.99477,59.250124,"Charcoal"
"174","Beta-227903",2133.52443063913,10.99477,59.250124,"Charcoal"
"175","Beta-227904",1630.83641157878,10.99477,59.250124,"Charcoal"
"176","Beta-227905",2168.96824621691,10.99477,59.250124,"Charcoal"
"177","Beta-227906",1895.97657041956,10.99477,59.250124,"Charcoal"
"178","Beta-227907",2129.74372518738,10.99477,59.250124,"Charcoal"
"179","Beta-234329",685.551687636348,10.23,59.1,"Charcoal"
"180","Beta-234330",1459.27486991232,10.23,59.1,"Charcoal"
"181","Beta-234331",1438.42461721859,10.23,59.1,"Cereal"
"182","Beta-234332",6346.1131642601,10.23,59.1,"Organic fragment"
"183","Beta-234333",2260.46830320918,10.23,59.1,"Reed"
"184","Beta-234334",1577.50236497031,10.23,59.1,"Cereal"
"185","Beta-234335",1577.50236497031,10.23,59.1,"Charcoal"
"186","Beta-234336",1638.10179487082,10.23,59.1,"Charcoal"
"187","Beta-234337",1526.35355979786,10.23,59.1,"Cereal"
"188","Beta-234338",1475.88610617338,10.23,59.1,"Cereal"
"189","Beta-234339",1459.27486991232,10.23,59.1,"Cereal"
"190","Beta-234340",1464.43686744167,10.23,59.1,"Cereal"
"191","Beta-234341",1630.83641157878,10.23,59.1,"Cereal"
"192","Beta-234342",2168.96824621691,10.23,59.1,"Cereal"
"193","Beta-234343",1872.90624287282,10.155952,59.135589,"Charcoal"
"194","Beta-234344",1446.75954297149,10.155952,59.135589,"Charcoal"
"195","Beta-234403",7741.90571770619,10.02,59.05,""
"196","Beta-234404",7822.88210971468,10.02,59.05,""
"197","Beta-234405",782.248000621483,10.02,59.05,""
"198","Beta-234406",373.788948301604,10.02,59.05,""
"199","Beta-234407",3477.79779746755,10.02,59.05,""
"200","Beta-234408",815.748972104541,10.02,59.05,""
"201","Beta-234409",1334.83828466654,10.02,59.05,""
"202","Beta-234410",5522.49524486555,10.02,59.05,""
"203","Beta-234411",3730.24385356207,10.04,59.05,""
"204","Beta-236871",3235.35437546191,10.04,59.05,"Charcoal"
"205","Beta-236872",1770.79739303675,10.155952,59.135589,"Charcoal"
"206","Beta-236873",3789.9196539161,10.155952,59.135589,"Charcoal"
"207","Beta-238363",3465.37116538363,10.04,59.05,"Cereal"
"208","Beta-238364",1464.43686744167,10.04,59.05,"Cereal"
"209","Beta-240492",3379.59304020166,10.04,59.05,"Charcoal"
"210","Beta-240493",2452.39611280114,10.04,59.05,"Charcoal"
"211","Beta-240494",2618.06208008079,10.04,59.05,"Charcoal"
"212","Beta-240495",2754.96115776838,10.04,59.05,"Charcoal"
"213","Beta-240496",1687.20918673228,10.04,59.05,"Nutshell"
"214","Beta-241091",3831.52150060652,10.86,59.34,""
"215","Beta-250336",3500.66135381196,10.04,59.05,"Charcoal"
"216","Beta-250337",3408.41602308751,10.04,59.05,"Charcoal"
"217","Beta-250338",143.535425042896,10.04,59.05,"Charcoal"
"218","Beta-250339",2300.13008097552,10.04,59.05,"Charcoal"
"219","Beta-250340",1009.50043839868,10.04,59.05,"Charcoal"
"220","Beta-250590",1057.75108118017,10.057296,59.123464,"Charcoal"
"221","Beta-250591",947.328432435785,10.057296,59.123464,"Charcoal"
"222","Beta-251693",3339.68897473053,9.57,59,"Charcoal"
"223","Beta-252372",1070.60120874962,10.664943,59.390126,"Charcoal"
"224","Beta-252373",2834.33954808161,10.664943,59.390126,"Charcoal"
"225","Beta-252639",3026.34351426907,10.04,59.05,"Charcoal"
"226","Beta-252640",2901.35175463286,10.04,59.05,"Charcoal"
"227","Beta-252641",1293.61940588665,10.04,59.05,"Charcoal"
"228","Beta-252642",3012.01461053662,10.04,59.05,"Charcoal"
"229","Beta-252643",2802.93858092363,10.04,59.05,"Charcoal"
"230","Beta-252644",2997.26270180545,10.04,59.05,"Charcoal"
"231","Beta-252645",1577.50236497031,10.04,59.05,"Charcoal"
"232","Beta-252646",2843.35026547248,10.04,59.05,"Charcoal"
"233","Beta-252647",2608.34370766363,10.04,59.05,"Charcoal"
"234","Beta-252648",3305.54901462106,10.04,59.05,"Charcoal"
"235","Beta-253481",2505.99124025801,10.74,59.38,"Charcoal"
"236","Beta-25940",11255.706804118,29.2636,70.7315,"carbon"
"237","Beta-25941",11336.0204552082,29.2636,70.7315,"carbon"
"238","Beta-25942",10994.9075536529,29.2636,70.7315,"carbon"
"239","Beta-25943",11378.85570552,29.2636,70.7315,"carbon"
"240","Beta-2632266",899.839878662594,9.712984,59.117506,"Charcoal"
"241","Beta-2632267",164.599732531631,9.712984,59.117506,"Charcoal"
"242","Beta-2632268",1909.19555785179,9.712984,59.117506,"Charcoal"
"243","Beta-2632269",2071.13610864394,9.712984,59.117506,"Charcoal"
"244","Beta-2632270",1544.88544773838,9.712984,59.117506,"Charcoal"
"245","Beta-2632272",152.47410975407,9.712984,59.117506,"Charcoal"
"246","Beta-276197",1325.23468852135,10.04,59.05,""
"247","Beta-276198",129.578449042031,10.04,59.05,""
"248","Beta-276199",1589.81392400338,10.04,59.05,""
"249","Beta-276200",3936.2155084887,10.04,59.05,""
"250","Beta-308495",398.275348576854,10.31205,59.28332,"Charcoal"
"251","Beta-322380",2030.66238917076,9.9141,61.5668,"Charcoal"
"252","Beta-322381",1472.87767324341,9.9141,61.5668,"Charcoal"
"253","Beta-322382",1698.59460403661,9.9141,61.5668,"Charcoal"
"254","Beta-322383",1607.78805367341,9.9141,61.5668,"Charcoal"
"255","Beta-322384",1607.78805367341,9.9141,61.5668,"Charcoal"
"256","Beta-322385",1438.63264823942,9.9141,61.5668,"Charcoal"
"257","Beta-322386",1504.12115087365,9.9141,61.5668,"Charcoal"
"258","Beta-322387",3590.92084170459,9.9141,61.5668,"Charcoal"
"259","Beta-322388",1632.35782568999,9.9141,61.5668,"Charcoal"
"260","Beta-322389",1671.27363562365,9.9141,61.5668,"Charcoal"
"261","Beta-324757",2077.71367696904,9.673244,59.12914,"Charcoal"
"262","Beta-325802",9475.11514033279,10.048172,59.078189,"Hazel nutshell"
"263","Beta-335453",10894.5552654556,14.59,67.3024,"charcoal"
"264","Beta-345280",2513.86806286857,10.012672,61.549097,"Bone"
"265","Beta-359783",3120.78582875701,9.678132,59.033775,""
"266","Beta-361405",1109.8048729942,10.4123,59.26748,"Burned  bone"
"267","Beta-361406",1109.8048729942,10.4123,59.26748,"Burned  bone"
"268","Beta-361407",1027.20177523239,10.4123,59.26748,"Burned  bone"
"269","Beta-361408",1069.0203887346,10.4123,59.26748,"Burned  bone"
