"","Age"
"1",35
"2",45
"3",46
"4",55
"5",60
"6",70
"7",75
"8",80
"9",80
"10",84
"11",90
"12",90
"13",90
"14",90
"15",90
"16",92
"17",93
"18",97
"19",97
"20",99
"21",100
"22",100
"23",100
"24",100
"25",100
"26",100
"27",100
"28",103
"29",103
"30",104
"31",104
"32",105
"33",106
"34",107
"35",107
"36",108
"37",108
"38",110
"39",110
"40",110
"41",110
"42",110
"43",110
"44",111
"45",111
"46",112
"47",115
"48",115
"49",115
"50",120
"51",120
"52",120
"53",121
"54",129
"55",129
"56",130
"57",130
"58",130
"59",130
"60",130
"61",131
"62",132
"63",132
"64",135
"65",135
"66",135
"67",138
"68",140
"69",140
"70",140
"71",140
"72",140
"73",140
"74",140
"75",140
"76",140
"77",140
"78",142
"79",144
"80",145
"81",145
"82",145
"83",145
"84",149
"85",149
"86",150
"87",150
"88",150
"89",150
"90",150
"91",150
"92",153
"93",155
"94",156
"95",157
"96",158
"97",159
"98",160
"99",160
"100",160
"101",160
"102",160
"103",160
"104",160
"105",160
"106",164
"107",165
"108",165
"109",167
"110",168
"111",169
"112",170
"113",170
"114",170
"115",170
"116",170
"117",170
"118",172
"119",172
"120",175
"121",175
"122",176
"123",177
"124",177
"125",178
"126",179
"127",180
"128",180
"129",180
"130",180
"131",180
"132",180
"133",180
"134",182
"135",183
"136",184
"137",185
"138",185
"139",185
"140",190
"141",190
"142",190
"143",190
"144",190
"145",190
"146",190
"147",190
"148",190
"149",193
"150",194
"151",195
"152",197
"153",200
"154",203
"155",204
"156",205
"157",205
"158",207
"159",210
"160",210
"161",210
"162",210
"163",210
"164",210
"165",211
"166",211
"167",213
"168",215
"169",215
"170",220
"171",220
"172",220
"173",220
"174",220
"175",225
"176",225
"177",225
"178",227
"179",230
"180",230
"181",230
"182",232
"183",232
"184",234
"185",234
"186",235
"187",235
"188",235
"189",235
"190",235
"191",236
"192",239
"193",240
"194",240
"195",240
"196",240
"197",240
"198",240
"199",245
"200",245
"201",245
"202",248
"203",249
"204",249
"205",250
"206",250
"207",250
"208",250
"209",250
"210",250
"211",250
"212",250
"213",250
"214",254
"215",255
"216",256
"217",260
"218",260
"219",260
"220",260
"221",260
"222",260
"223",260
"224",261
"225",262
"226",262
"227",264
"228",265
"229",265
"230",266
"231",270
"232",270
"233",270
"234",270
"235",270
"236",270
"237",272
"238",273
"239",280
"240",280
"241",280
"242",280
"243",280
"244",280
"245",280
"246",280
"247",280
"248",280
"249",281
"250",283
"251",284
"252",284
"253",284
"254",286
"255",286
"256",288
"257",290
"258",290
"259",290
"260",290
"261",290
"262",290
"263",290
"264",290
"265",290
"266",290
"267",291
"268",298
"269",300
"270",300
"271",300
"272",300
"273",300
"274",300
"275",300
"276",300
"277",305
"278",305
"279",305
"280",309
"281",310
"282",310
"283",310
"284",310
"285",310
"286",310
"287",312
"288",313
"289",313
"290",313
"291",315
"292",315
"293",315
"294",315
"295",316
"296",320
"297",320
"298",320
"299",320
"300",320
"301",320
"302",320
"303",320
"304",320
"305",325
"306",325
"307",326
"308",326
"309",327
"310",330
"311",330
"312",330
"313",330
"314",330
"315",330
"316",330
"317",330
"318",330
"319",330
"320",330
"321",330
"322",333
"323",333
"324",335
"325",335
"326",335
"327",335
"328",336
"329",336
"330",337
"331",338
"332",339
"333",340
"334",340
"335",340
"336",340
"337",340
"338",340
"339",340
"340",346
"341",348
"342",350
"343",350
"344",350
"345",350
"346",350
"347",350
"348",350
"349",350
"350",350
"351",352
"352",355
"353",359
"354",360
"355",360
"356",360
"357",362
"358",365
"359",368
"360",370
"361",370
"362",370
"363",370
"364",370
"365",370
"366",370
"367",370
"368",370
"369",370
"370",374
"371",380
"372",380
"373",380
"374",380
"375",380
"376",380
"377",380
"378",380
"379",380
"380",386
"381",389
"382",390
"383",390
"384",390
"385",390
"386",390
"387",390
"388",390
"389",390
"390",390
"391",391
"392",392
"393",393
"394",393
"395",394
"396",395
"397",395
"398",398
"399",400
"400",400
"401",400
"402",400
"403",400
"404",400
"405",400
"406",400
"407",402
"408",405
"409",409
"410",410
"411",410
"412",410
"413",410
"414",410
"415",410
"416",410
"417",412
"418",413
"419",417
"420",420
"421",420
"422",420
"423",420
"424",420
"425",420
"426",420
"427",420
"428",420
"429",420
"430",420
"431",420
"432",423
"433",423
"434",425
"435",428
"436",429
"437",430
"438",430
"439",430
"440",430
"441",430
"442",430
"443",431
"444",434
"445",435
"446",436
"447",438
"448",440
"449",440
"450",440
"451",440
"452",440
"453",440
"454",447
"455",447
"456",449
"457",450
"458",450
"459",450
"460",450
"461",450
"462",450
"463",450
"464",453
"465",455
"466",455
"467",457
"468",459
"469",460
"470",460
"471",460
"472",460
"473",464
"474",465
"475",465
"476",465
"477",468
"478",469
"479",470
"480",470
"481",470
"482",470
"483",470
"484",470
"485",470
"486",471
"487",475
"488",480
"489",480
"490",480
"491",480
"492",485
"493",489
"494",490
"495",490
"496",490
"497",490
"498",491
"499",497
"500",500
"501",500
"502",500
"503",500
"504",500
"505",500
"506",500
"507",500
"508",500
"509",502
"510",504
"511",509
"512",510
"513",510
"514",510
"515",510
"516",510
"517",510
"518",510
"519",510
"520",510
"521",511
"522",512
"523",515
"524",515
"525",520
"526",521
"527",528
"528",529
"529",530
"530",530
"531",530
"532",530
"533",530
"534",530
"535",530
"536",530
"537",532
"538",536
"539",538
"540",538
"541",539
"542",539
"543",540
"544",540
"545",540
"546",540
"547",540
"548",540
"549",540
"550",540
"551",540
"552",542
"553",542
"554",544
"555",545
"556",549
"557",550
"558",550
"559",550
"560",550
"561",550
"562",550
"563",550
"564",550
"565",550
"566",551
"567",552
"568",553
"569",554
"570",555
"571",558
"572",560
"573",560
"574",560
"575",560
"576",560
"577",564
"578",568
"579",569
"580",570
"581",570
"582",570
"583",570
"584",570
"585",570
"586",570
"587",570
"588",570
"589",570
"590",570
"591",570
"592",570
"593",570
"594",570
"595",570
"596",572
"597",572
"598",574
"599",575
"600",575
"601",575
"602",576
"603",577
"604",578
"605",580
"606",580
"607",580
"608",580
"609",580
"610",580
"611",584
"612",585
"613",586
"614",586
"615",586
"616",589
"617",589
"618",590
"619",590
"620",590
"621",590
"622",590
"623",590
"624",590
"625",590
"626",590
"627",590
"628",595
"629",595
"630",595
"631",596
"632",597
"633",597
"634",598
"635",600
"636",600
"637",600
"638",600
"639",600
"640",600
"641",600
"642",600
"643",600
"644",600
