"","unique.human.footprint.Material."
"1","plant macrofossils"
"2","grain"
"3","bone"
"4","collagen bone"
"5","Birch bark tar"
"6","human bone"
"7",""
"8","charcoal"
"9","Charcoal"
"10","food residue"
"11","macrofossil"
"12","Wood"
"13","Cereal"
"14","Organic fragment"
"15","Reed"
"16","Nutshell"
"17","carbon"
"18","Hazel nutshell"
"19","Bone"
"20","Burned  bone"
"21","Seed"
"22","-"
"23","tooth"
"24","Soot from pottery"
"25","food remains"
"26","Ceramics"
"27","Cremated bone (human)"
"28","Food crust"
"29","Shell"
"30","seed"
"31","wood"
"32","cow hair"
"33","gyttja"
"34","peat"
"35","withe"
"36","Sphagnum peat"
"37","E-S peat"
"38","C & S peat"
"39","bark"
"40","mortar"
"41","wood (runner)"
"42","charred wood"
"43","fiber"
"44","birch bark"
"45","charred crust"
"46","rye"
"47","birch tar"
"48","textile"
"49","chewing resin"
"50","charred berry"
"51","charred nutshell"
"52","hair"
"53","antler or bone"
"54","animal bone"
"55","hazelnutshell"
"56","horn"
"57","miscellaneous"
"58","bone Coelodonta antiquitatis Linty"
"59","Pottery"
"60","Burned bone"
"61","burned bone"
"62","Macrofossil"
"63","antler"
"64","resin"
"65","nutshell"
"66","Birchbark"
"67","Bark"
"68","Cone"
"69","Carboniferous soil"
"70","Betula charcoal from lower part of hearth"
"71","Bast"
"72","Wood/Charcoal"
"73","Peat"
"74","Butter"
"75","Charcoal + sand"
"76","Husk"
"77","Never"
"78","Charcoal / Shell"
"79","Bone / gevir"
"80","Gevir"
"81","Tre"
"82","Brent Bone"
"83","Tooth"
"84","Iron"
"85","Foodcrust"
"86","cremated bones"
"87","Birch bark tar/pitch"
"88","Plantremain"
"89","unknown"
"90","cereal"
"91","Cerealia"
"92","Triticum"
"93","charred plant macrofossils"
"94","dentin"
