"","Row.Id","LabID","Age","Error","Material","Taxa","d13C","Method","Long","Lat","LocAccuracy","Period","SiteID","SiteName","Country","Province","Continent","Source","Reference"
"1",791,"AA 1841",4320,80,"plant macrofossils","","","",13.91,55.48,2,"","","Piledal","Sweden","","Europe","EUROEVOL",""
"2",792,"AA 1842",4190,60,"plant macrofossils","","","",13.8992,55.4738,2,"","","Karlsfält","Sweden","","Europe","EUROEVOL",""
"3",1635,"AA-1841",4320,80,"grain","","","",13.89239,55.46033,2,"","","Piledal","Sweden","","Europe","RADON",""
"4",1636,"AA-1842",4190,160,"grain","","0","",13.8992,55.4738,1,"","","Karlsfält","Sweden","","Europe","CALPAL; RADON",""
"5",1639,"AA-1845",3453,48,"grain","","","",13.89239,55.46033,2,"","","Piledal","Sweden","","Europe","RADON",""
"6",1642,"AA-1846",3524,50,"grain","","","",13.89239,55.46033,2,"","","Piledal","Sweden","","Europe","RADON",""
"7",6052,"AA1841",4320,80,"grain","","0","",13.8924,55.4603,1,"","","Piledal","Sweden","","Europe","CALPAL","Kiel DB 2013"
"8",6053,"AA1842",4190,60,"grain","","0","",13.8992,55.4738,1,"","","Karlsfält","Sweden","","Europe","CALPAL","Kiel DB 2013"
"9",6054,"AA1845",3453,48,"grain","","0","",13.8924,55.4603,1,"","","Piledal","Sweden","","Europe","CALPAL","Kiel DB 2013"
"10",6055,"AA1846",3524,50,"grain","","0","",13.8924,55.4603,1,"","","Piledal","Sweden","","Europe","CALPAL","Kiel DB 2013"
"11",6404,"AAR 10233",4428,45,"bone","","","",13.5781,58.1698,2,"","","Falköping stad 3","Sweden","","Europe","EUROEVOL",""
"12",6405,"AAR 10239",4206,45,"bone","","","",13.6328,58.1901,2,"","","Karleby 105","Sweden","","Europe","EUROEVOL",""
"13",6406,"AAR 11205",3659,37,"bone","","","",11.7297,57.7394,2,"","","Sillvik","Sweden","","Europe","EUROEVOL",""
"14",6425,"AAR-10237",4435,44,"collagen bone","","-21.08","",13.60635,58.22955,2,"","","Valtorp 2","Sweden","","Europe","RADON",""
"15",6640,"AAR-16884",8582,33,"Birch bark tar","","","",10.046246,59.078517,2,"","","Hovland 1","Norway","","Europe","Solheim_Norway",""
"16",7080,"AAr-10238",4503,44,"human bone","","","",13.6063,58.2295,2,"","","Rössberga (Valtorp 2)","Sweden","","Europe","EUROEVOL",""
"17",7893,"ANL-1306",3675,70,"","","","",16.06605,56.44827,2,"","","Söderåkra","Sweden","","Europe","RADON-B","Alexandersson 2010 138 Fig. 5"
"18",7894,"ANL-1358",3560,70,"","","","",16.06605,56.44827,2,"","","Söderåkra","Sweden","","Europe","RADON-B","Alexandersson 2010 138 Fig. 5"
"19",7895,"ANL-1373",4520,70,"","","","",16.06605,56.44827,2,"","","Söderåkra","Sweden","","Europe","RADON-B","Alexandersson 2010 138 Fig. 5"
"20",7896,"ANL-1395",3810,65,"charcoal","","","",16.06605,56.44827,2,"","","Söderåkra","Sweden","","Europe","RADON-B","Alexandersson 2010 138 Fig. 5"
