"X","LabID","weighted_mean","long","lat","Material"
236,"Beta-25940",11255.706804118,29.2636,70.7315,"carbon"
237,"Beta-25941",11336.0204552082,29.2636,70.7315,"carbon"
238,"Beta-25942",10994.9075536529,29.2636,70.7315,"carbon"
239,"Beta-25943",11378.85570552,29.2636,70.7315,"carbon"
346,"Beta-58660",10951.4127578797,19.9056,70.1773,"charcoal"
347,"Beta-67585",12091.6088512838,26.6237,70.9141,"charcoal"
367,"Beta107394",3402.8132701996,23.220123,70.687692,""
368,"Beta107395",3450.57684194841,23.220123,70.687692,""
369,"Beta131296",6788.36722281263,29.251022,69.16424,"Ceramics"
370,"Beta25940",11255.706804118,29.30197,70.79181,"Charcoal"
371,"Beta25941",11336.0204552082,29.30197,70.79181,"Charcoal"
372,"Beta25942",10994.9075536529,29.30197,70.79181,"Charcoal"
373,"Beta25943",11378.85570552,29.30197,70.79181,"Charcoal"
374,"Beta343452",2343.21656054279,16.47367,68.98428,"Cremated bone (human)"
375,"Beta367037",1804.91263114674,22.178091,70.615062,"Charcoal"
376,"Beta367039",2591.71307646111,22.178091,70.615062,"Charcoal"
377,"Beta367040",2875.65457288014,22.178091,70.615062,"Charcoal"
378,"Beta375241",7904.14498132516,24.01203,69.34426,"Charcoal"
379,"Beta375242",7799.53112783809,24.01203,69.34426,"Charcoal"
380,"Beta375243",7744.77446314546,24.01203,69.34426,"Bone"
381,"Beta383557",3947.06259064259,28.786918,70.075871,"Charcoal"
382,"Beta383558",4049.12038411284,28.786918,70.075871,"Charcoal"
383,"Beta383559",4087.67373941253,28.786918,70.075871,"Charcoal"
384,"Beta383560",4154.68609784188,28.786918,70.075871,"Charcoal"
385,"Beta383561",4269.92529818007,28.786918,70.075871,"Charcoal"
386,"Beta383562",4121.04293891275,28.786918,70.075871,"Charcoal"
387,"Beta383563",4233.00710537211,28.786918,70.075871,"Charcoal"
388,"Beta389929",2792.83753132261,22.178091,70.615062,"Food crust"
389,"Beta396049",1410.98092491096,16.579369,68.578136,"Charcoal"
390,"Beta396050",2193.83948417252,16.579369,68.578136,"Charcoal"
391,"Beta396052",2175.75399019251,16.579369,68.578136,"Charcoal"
392,"Beta396053",1438.63264823942,16.579369,68.578136,"Charcoal"
393,"Beta396054",2310.08380496011,16.579369,68.578136,"Charcoal"
394,"Beta396056",5717.96288885296,23.781707,70.509651,"Charcoal"
395,"Beta398819",5237.90102702046,29.915379,70.069002,"Charcoal"
396,"Beta398820",5539.22168960442,29.915379,70.069002,"Charcoal"
397,"Beta398821",5162.37425531951,29.915379,70.069002,"Charcoal"
398,"Beta398822",4917.34970676052,29.915379,70.069002,"Charcoal"
399,"Beta398823",6236.83722398059,29.915379,70.069002,"Charcoal"
400,"Beta398824",6127.3239086513,29.915379,70.069002,"Charcoal"
401,"Beta398825",6458.26644618444,29.915379,70.069002,"Charcoal"
402,"Beta398826",6348.78462727136,29.915379,70.069002,"Charcoal"
403,"Beta398827",6579.26560045933,29.915379,70.069002,"Charcoal"
404,"Beta398828",4154.68609784188,29.915379,70.069002,"Charcoal"
405,"Beta398829",6654.61143408119,29.915379,70.069002,"Charcoal"
406,"Beta398830",6352.04909032521,29.915379,70.069002,"Charcoal"
407,"Beta398831",6525.5426601829,29.915379,70.069002,"Charcoal"
408,"Beta398832",6426.51473261486,29.915379,70.069002,"Charcoal"
409,"Beta398833",6286.47270339308,29.915379,70.069002,"Charcoal"
410,"Beta398834",6273.19326696839,29.915379,70.069002,"Charcoal"
411,"Beta398835",6334.58823765613,29.915379,70.069002,"Charcoal"
412,"Beta398836",6262.23277500192,29.915379,70.069002,"Charcoal"
413,"Beta398837",3977.20742697788,29.915379,70.069002,"Charcoal"
