"site","long","lat"
"850Lake.Shemesh.2001",19.12,68.37
"AlanenLaanijarvi.Heinrichs.2005",20.48,67.97
"Austerkjosen.Seppa.2009",17.2667,68.5333
"Bjornfjell.Brooks.2006",18.07,68.43
"Chuna.Jones.2005",32.48,67.95
"Dalmutladdo.Bjune.2004",20.72,69.17
"Donvold.Nilssen.1983",13.58,68.13
"Gammelheimvatnet.Seppa.2009",17.75,68.47
"KP2.Seppa.2009",35.32,68.8
"Lapland.Helama.2009",25,69
"Liltlvatn.Seppa.2009",14.87,68.52
"Myrvatn.Seppa.2009",16.38,68.65
"Njakajaure.Bigler.2006",18.78,68.33
"Njulla.Larocque.2004",18.7,68.37
"Sokli.Shala.2017",29.28,67.81
"Tibetanus.Hammarlund.2002",18.7,68.33
"Tornetrask.Grudd.2002",20,68
"Toskaljavri.Seppa.2002",21.47,69.2
"Tsuolbmajavri.Korhola.2002",22.05,68.41
"VuolepNjakajaure.Heinrichs.2006",18.75,68.33
"Yarnyshnoe.Seppa.2008",36.07,69.07
