"","name","mean","lower","upper","Rhat","n.eff","BF","ID"
"7","cp_1",2149.39752779541,2100.18480007951,2199.99139592317,1.09580703952561,4696,32.1206332754443,"wetmMWs"
"8","cp_2",2578.99561783702,2303.28902311246,2912.58565091035,1.01612895157502,297,4.42038405057939,"wetmMWs"
"9","cp_3",3335.05487838524,3200.00015095582,3472.85226707434,1.00266178495078,998,24.8990911732631,"wetmMWs"
"10","cp_4",4138.85126866473,4000.07179550062,4281.4292267901,1.00006833770244,38881,28.4223963210593,"wetmMWs"
"11","cp_5",6249.71502108606,6200.00381796074,6298.21324671609,1.00001554970469,26554,65.9379450948194,"wetmMWs"
"71","cp_1",849.82349420407,802.336306883169,898.057047990509,1.00036851820727,40221,23.7422869355573,"pasMWs"
"81","cp_2",1332.87447740423,1246.47724404725,1399.99992964164,1.06186344999415,263,67.5201721085764,"pasMWs"
"91","cp_3",2952.3080935875,1385.34451453889,4199.96563330908,1.35639815382894,137,4.24034988721908,"pasMWs"
"101","cp_4",4660.60177245226,4024.08278278679,8577.76410431486,1.5794676235382,148,0.133925168907569,"pasMWs"
"111","cp_5",8257.87909844534,4115.59127020563,8599.99971073207,1.26335703264605,197,0.347599856555679,"pasMWs"
"72","cp_1",3675.30243515219,2117.78247481879,4099.99412410177,1.08838723972064,149,2.4666091672319,"araMWs"
"82","cp_2",6341.228579528,3167.40586653551,8228.79091531408,1.05307292839995,135,1.01684258524175,"araMWs"
"92","cp_3",7693.96423684212,5305.83555766118,8397.11900734126,1.21011297377513,151,6.63679238570426,"araMWs"
"102","cp_4",8299.78970122202,8200.0025954575,8595.97787921064,1.23444016340126,299,25.1018645119298,"araMWs"
"112","cp_5",8558.77309665891,8200.00776155871,8758.42662925738,1.13841266340819,1299,28.2142961852574,"araMWs"
"73","cp_1",1785.39946211405,1584.39906240973,2197.63983806545,1.02946383668296,910,9.57789992135058,"heaMWs"
"83","cp_2",2845.7830679147,2159.44126499688,2999.99873913769,1.00615196954891,167,14.0192864757873,"heaMWs"
"93","cp_3",3705.82888030791,2900.1212913691,4047.7526622732,1.02270218700304,123,10.439818264992,"heaMWs"
"103","cp_4",4977.56322820399,3900.01045382542,8242.75452863597,1.00036365663006,155,1.04068679294651,"heaMWs"
"113","cp_5",8388.56696706503,8217.53636910287,8500.06700850815,1.02716406014054,1787,18.8123070910059,"heaMWs"
