"","name","mean","lower","upper","Rhat","n.eff","BF","ID"
"7","cp_1",2460.0189032764,1400.07516256528,3069.91149992089,1.01225580570481,558,5.34614085993554,"conNs"
"8","cp_2",4528.94366110576,2476.81976148287,5299.99556916546,1.01560894383459,65,0.359760521795234,"conNs"
"9","cp_3",5551.63411056866,5031.25333810219,6332.60082317599,1.09049223231854,101,0.248260555759378,"conNs"
"10","cp_4",6237.94349785897,5199.87105425566,7160.34461688812,1.06517738397786,153,3.3890078997503,"conNs"
"11","cp_5",7108.58827546762,6900.00208354071,7564.30031008578,1.00237189875119,147,8.25159520870508,"conNs"
"71","cp_1",2845.16693566444,1797.33012466395,3199.93845924473,1.23453857430488,323,0.9002497017048,"decNs"
"81","cp_2",5067.60008537222,2900.04186879337,6259.02699644106,1.42468677116003,19,0.0261422250269716,"decNs"
"91","cp_3",6244.16835465616,3672.01971529767,7038.15532457756,1.47089324751676,58,7.14726907775765,"decNs"
"101","cp_4",6759.07235761078,6074.88369282337,7173.94417475099,1.2626727327054,76,1.26528064622877,"decNs"
"111","cp_5",7051.02322966298,6800.00384783377,7294.75903742616,1.04754964069102,680,14.5069818003786,"decNs"
"72","cp_1",4412.1271399068,2440.03992491959,5299.99737025893,1.05540081337961,222,0.684181899193949,"wetwNs"
"82","cp_2",5964.40530188396,5144.36384079321,7299.98832730201,1.08944760412528,66,1.04054686483754,"wetwNs"
"92","cp_3",7426.93955283502,7157.71159479617,7999.99246607823,1.14066392398708,131,0.891889809470997,"wetwNs"
"102","cp_4",7981.66024107025,7900.00030532969,8152.18413999207,1.09034336067999,1081,52.3126081811593,"wetwNs"
"112","cp_5",8162.72260980923,7985.7577418646,8577.65900908743,1.05776746730134,2827,24.0643353338364,"wetwNs"
"73","cp_1",2712.89891473777,2347.89812249229,3189.99064886215,1.02199114232098,210,3.28319765607403,"wetmNs"
"83","cp_2",3760.70137719304,2900.72692579254,5099.97851863629,1.04379319477876,77,0.875488876027069,"wetmNs"
"93","cp_3",5647.42192490566,3508.76738161211,6959.34970916,1.60975098053727,12284,0.0885002350772638,"wetmNs"
"103","cp_4",6983.16483727932,5806.81143399819,7697.16410805517,1.66688562738823,107,6.44894904573397,"wetmNs"
"113","cp_5",8299.67802214698,7505.68593605301,8900.01123865482,1.30965971091039,253,1.3879467840556,"wetmNs"
"74","cp_1",1650.46815351599,1605.08576232224,1699.98054402644,1.00011326850001,42117,20.691912891903,"pasNs"
"84","cp_2",4106.19930925865,3710.70305039734,4399.88907782094,1.01161228565688,4961,24.000502341419,"pasNs"
"94","cp_3",5838.60759441126,5700.01106141864,5989.88582625911,1.20852186284376,819,53.578479531753,"pasNs"
"104","cp_4",6904.69209636254,6807.70044615586,6999.93964939236,1.00546714132301,2296,31.9797475078846,"pasNs"
"114","cp_5",8147.60154060805,7241.83786041506,8500.01915695621,1.003036765579,962,2.13208820413242,"pasNs"
"75","cp_1",1449.26191109499,1400.51970482488,1495.40229319064,1.00001521225363,43178,28.7806674017369,"araNs"
"85","cp_2",1767.99584125182,1480.88333038657,1899.99747912571,1.00613849971959,689,11.9638544908055,"araNs"
"95","cp_3",2074.65166714882,1799.90911697991,2562.0082720817,1.07517699232337,380,18.0584679717447,"araNs"
"105","cp_4",2442.2979617663,1802.32235291698,2763.88266329827,1.26272055046434,220,57.9453310198911,"araNs"
"115","cp_5",2943.54339512423,2400.01022094747,5573.19837410891,1.06326966383011,284,8.34107804408731,"araNs"
"76","cp_1",1650.54601701665,1603.93149933278,1699.07760078048,1.00051579131214,72062,20.6646955991316,"heaNs"
"86","cp_2",3750.61331936929,3698.68117954315,3894.99487683849,1.00038825665044,44330,34.9057338874819,"heaNs"
"96","cp_3",4977.00362894938,4600.00069391681,5528.84831211304,1.00973652926032,705,4.7026141164958,"heaNs"
"106","cp_4",6825.02335657097,6522.43815840572,6999.99515428598,1.01253097139753,866,10.4383529562083,"heaNs"
"116","cp_5",7529.91404152289,7200.04635934995,7766.64764317082,1.01442878502295,1270,14.7008645293052,"heaNs"
