"","name","mean","lower","upper","Rhat","n.eff","BF","ID"
"7","cp_1",1130.96767218362,529.135517541316,1599.99969633508,1.30543502388711,120,0.259262341138813,"conSEs"
"8","cp_2",1841.68761896725,1506.11856600845,2099.94771833011,1.83395823001458,80,0.146133434641539,"conSEs"
"9","cp_3",2994.88173064062,2000.0032005903,4653.40720249858,3.44414648611011,25,0.470613931302916,"conSEs"
"10","cp_4",4986.30595624547,4416.65939175763,7088.51016245612,1.90473717212339,7554,0.941458975088988,"conSEs"
"11","cp_5",6879.93295060474,5468.18332399441,7955.45490384155,1.11487721965623,228,1.87651667908558,"conSEs"
"71","cp_1",1924.46180449128,1100.03803605663,3182.28187814226,1.11476299370808,160,3.70215764719003,"decSEs"
"81","cp_2",3125.24623396435,1804.80761910511,4399.97274928366,1.21576775595345,68,3.38581373395688,"decSEs"
"91","cp_3",3978.62714682872,2448.80795290713,4608.36285903515,1.47194513281271,107,0.147294504977714,"decSEs"
"101","cp_4",4696.88510088063,3236.53819052115,6299.88922845771,1.14698910212414,88,1.42137903057569,"decSEs"
"111","cp_5",5652.01738596576,4400.19234290623,7976.37854884482,1.179956502529,134,6.92855911299582,"decSEs"
"72","cp_1",2602.36857533266,1817.26405061207,3699.99173619369,1.05500004056674,114,0.50344051601739,"wetwSEs"
"82","cp_2",4107.29378927814,3599.99855969346,4409.32347494319,1.02575554655292,104,42.4897477217445,"wetwSEs"
"92","cp_3",4561.35655287373,4300.00120825049,7549.92541216229,1.12226984082967,266,1.50487650547635,"wetwSEs"
"102","cp_4",7518.88088176392,7398.65924970952,8825.56342846874,1.2528142073562,140,43.6628366663454,"wetwSEs"
"112","cp_5",8661.9049344695,7913.46780489425,8999.74988703434,1.05916711260838,288,2.52966013386696,"wetwSEs"
"73","cp_1",1215.89838335617,1104.95491300526,1299.99507551958,1.03916081947451,5018,17.0217630482025,"wetmSEs"
"83","cp_2",2447.58921167541,1291.38503831246,2699.55555500665,1.13875202765791,10616,1.34143706557576,"wetmSEs"
"93","cp_3",3846.51764552856,2500.09112818254,4850.23392269504,2.63045274624389,269,0.0267906413112052,"wetmSEs"
"103","cp_4",5979.49605966384,4572.23785497095,8299.96371015735,4.32522708867605,155,0.173208290758698,"wetmSEs"
"113","cp_5",8232.05811407827,7902.07734382774,8699.99862465599,6.81211114101,32995,1.2596836817327,"wetmSEs"
"74","cp_1",1289.25760615141,542.109343421768,1444.74510748623,1.04237086055204,65,0.123869032601887,"pasSEs"
"84","cp_2",3823.52876069978,1300.00296856852,6589.38035177341,1.01207792015375,278,0.966745557043403,"pasSEs"
"94","cp_3",6936.51791681516,4100.22362508203,8623.8364921995,1.00847877105001,124,0.654093694632898,"pasSEs"
"104","cp_4",8649.35327720886,8500.00090349216,8856.81637742399,1.01154585714975,258,1.03528018679852,"pasSEs"
"114","cp_5",8853.5913452003,8801.97062876202,8899.993820917,1.00129899852729,2213,21.3845860207127,"pasSEs"
"75","cp_1",651.350467250045,605.257499825897,699.764341357431,1.00257484960133,68842,24.9486318406185,"araSEs"
"85","cp_2",783.674086119009,700.045197791318,885.223752792034,3.09976419787888,101369,114.581901328632,"araSEs"
"95","cp_3",883.830556073816,800.017083641886,985.445466081258,3.10865128106009,90576,729.432425529823,"araSEs"
"105","cp_4",1084.01080729147,900.010184580918,1386.51908329008,11.6890408690175,80869,0.000180942950503447,"araSEs"
"115","cp_5",2494.06752882411,1300.00010460496,4903.65113575768,12.1956448418866,19818,0.104493631289066,"araSEs"
"76","cp_1",1199.42122627836,1103.08139282762,1292.67420467583,1.69450633556775,29421,13.0315983720129,"heaSEs"
"86","cp_2",1428.05023245774,1200.61358707218,1690.26951103998,2.2828812888588,151,0.183121348559699,"heaSEs"
"96","cp_3",1972.5223500235,1600.00422562915,2486.26014039768,2.76991862999526,74,0.378494846995041,"heaSEs"
"106","cp_4",3008.06827901945,2400.00143628858,5228.75833329601,2.50155387507804,191,2.21436455150224,"heaSEs"
"116","cp_5",4233.29282920052,2810.11973456906,6899.14693204655,4.39930053973452,1550,0.15640998003498,"heaSEs"
