"","name","mean","lower","upper","Rhat","n.eff","BF","ID"
"7","cp_1",3536.78788227083,1577.92800177105,4099.2296496519,1.03930508391594,305,1.75927266061741,"conSMs"
"8","cp_2",5490.73038776114,3609.88184914132,6734.57958221783,1.05771872306507,86,0.5777889254624,"conSMs"
"9","cp_3",6844.39700071339,6015.35515475297,7694.79419597858,1.05751607573053,155,0.821279997453712,"conSMs"
"10","cp_4",7576.12758824889,7412.48062995412,7699.98428202146,1.01139537709221,523,17.9089955376732,"conSMs"
"11","cp_5",8371.14186043569,8300.00018455933,8557.89806788539,1.01325622937674,371,33.8590490860478,"conSMs"
"71","cp_1",1850.6744940524,1656.67121504403,1999.80767550754,1.03961159817816,3573,18.3740709106766,"decSMs"
"81","cp_2",4410.00811095562,3009.15307812236,6327.78856652435,1.02409176745601,185,0.236796226777378,"decSMs"
"91","cp_3",6599.45060697478,3989.02749082434,7824.41831309489,1.08013802035289,206,6.90663188383529,"decSMs"
"101","cp_4",7800.73337078435,7399.96775310336,8984.19025265905,1.23086918757441,97,7.68800264696141,"decSMs"
"111","cp_5",8617.07646117964,8200.41693651953,8999.99565268266,1.17254681573346,570,2.3008949235686,"decSMs"
"72","cp_1",1780.02135484137,1700.00046236026,1886.08237388178,1.00089641176478,21906,14.5693302951998,"wetwSMs"
"82","cp_2",3512.95633775198,2047.83496226326,5401.74513427197,1.03757014216741,260,6.32515057181621,"wetwSMs"
"92","cp_3",6850.02991596156,3400.12873522612,8274.6419500385,1.02844813686543,103,0.479955613354123,"wetwSMs"
"102","cp_4",8231.84897288457,7379.3686726778,8999.96899014962,1.20333018930295,176,6.57861328209027,"wetwSMs"
"112","cp_5",8860.95579656436,8738.7014001411,8999.99742982743,1.12285335528279,295,10.8426279942271,"wetwSMs"
"73","cp_1",2966.87623244459,2400.18235535187,3267.75470461566,1.00278077277897,401,8.08035487441871,"wetmSMs"
"83","cp_2",4623.61355534594,3803.46326451017,6699.98922992849,1.01261262743462,174,2.68935934323246,"wetmSMs"
"93","cp_3",6850.06630359438,6804.9202996638,6899.88248661121,1.00000962319219,82936,87.3607545766475,"wetmSMs"
"103","cp_4",7450.33669539381,7404.67594418649,7499.6451696246,0.999996372895446,102016,63.6899225912641,"wetmSMs"
"113","cp_5",8749.45835491464,8700.90793565957,8795.90441041502,1.00000144593322,95896,23.2504380895255,"wetmSMs"
"74","cp_1",1550.16801150471,1503.78141117314,1599.13123526374,1.00004588969118,30970,21.2801020787813,"pasSMs"
"84","cp_2",2984.42456116799,2888.9019559084,3057.89430631156,1.30817822035091,1835,33.5754408516993,"pasSMs"
"94","cp_3",4081.50749546909,3700.44382936598,4556.27538096388,1.05106212368298,2407,25.6282479888138,"pasSMs"
"104","cp_4",6008.70945577167,5399.91753920779,7487.43730681103,1.05807511482429,747,3.6878403720923,"pasSMs"
"114","cp_5",8668.98940521969,8223.69174298723,8800.00623032877,1.06512870033714,287,1.23279915936572,"pasSMs"
"75","cp_1",1550.60916240245,1505.04648834987,1599.89080626383,1.00014402692927,36418,21.8588819789224,"araSMs"
"85","cp_2",1901.07122964936,1764.15799460999,2099.981812082,1.03441474214276,61,22.7828741175133,"araSMs"
"95","cp_3",2161.17235061276,2000.00409493535,2386.98826966396,1.21399570679693,29,8.53622181999727,"araSMs"
"105","cp_4",2668.3997695972,2300.00028521991,3297.82372553711,1.2780526973665,18,0.159071540424678,"araSMs"
"115","cp_5",4345.96590281374,4200.00090361618,4692.95380529165,1.05305261254092,1986,49.5767481796968,"araSMs"
"76","cp_1",1752.15145223674,1400.06342762089,1985.14410077077,1.00050544664061,159,0.231960590758551,"heaSMs"
"86","cp_2",3303.16698222123,1799.51619644049,5084.3702008625,1.00340340103358,113,0.146428652904211,"heaSMs"
"96","cp_3",4752.55705788074,1938.71416724724,5702.15064124518,1.01022104394667,258,0.645520969430664,"heaSMs"
"106","cp_4",5565.15708189248,4142.41446261642,7071.76421992507,1.00539902144259,345,16.8664406159516,"heaSMs"
"116","cp_5",6788.92799399446,5100.71139737215,7533.195688185,1.02180594651417,355,6.57493242825469,"heaSMs"
