"","name","mean","lower","upper","Rhat","n.eff","BF","ID"
"7","cp_1",1145.31627731861,939.585489271144,1589.58654857976,1.07545457499593,415,9.16315044769164,"wetmSWs"
"8","cp_2",1571.65683518008,1500.00030181067,1933.31520139657,1.29151714746577,1206,49.0475157893269,"wetmSWs"
"9","cp_3",1994.56117578623,1800.05558275888,2076.48669823623,1.35731219410057,3098,86.5227820108809,"wetmSWs"
"10","cp_4",3279.51072957223,2800.6030046946,4262.71771961866,1.20932972319303,233,0.355719234583303,"wetmSWs"
"11","cp_5",6960.85262276682,4280.50338044213,8098.64076240427,1.01119183323437,835,2.40304971485895,"wetmSWs"
"71","cp_1",1052.17307482575,1001.17719889508,1097.99688697214,1.00074692593807,54267,22.1942616669132,"pasSWs"
"81","cp_2",1744.76627156041,1700.05416735546,1799.97613091127,1.00943216791004,26370,45.825813083052,"pasSWs"
"91","cp_3",1949.33760911611,1900.64803729473,1996.0805615349,1.00231455504318,21118,116.91273342961,"pasSWs"
"101","cp_4",3039.20688525679,2900.00134120449,3170.45960349481,1.11153981530958,999,52.4735670220557,"pasSWs"
"111","cp_5",7675.40844495613,6637.86310062248,7999.99647043766,1.01137775655093,609,4.77448048871722,"pasSWs"
"72","cp_1",1067.88536797081,778.33983579703,1199.99732113911,1.14501721834912,431,11.6416453119463,"araSWs"
"82","cp_2",1338.3442802492,1000.00867999613,1823.48589835345,1.05537757862852,272,4.86443856407248,"araSWs"
"92","cp_3",2055.0291424952,1102.9426348085,2899.07985449099,1.05449896657199,232,1.97583138598756,"araSWs"
"102","cp_4",3861.24923642807,2200.02612549921,8338.55212138205,1.0240566733148,122,0.353223285736774,"araSWs"
"112","cp_5",6994.85870940409,5315.43502312575,8692.24487251268,1.01248311366243,997,1.07284906874101,"araSWs"
"73","cp_1",958.509530005577,804.205391242197,1099.80053276065,1.01982361502438,4496,2.470459875328,"heaSWs"
"83","cp_2",2605.53921678826,1600.01128900903,3248.5631236464,1.21055643355965,180,0.722300158818487,"heaSWs"
"93","cp_3",5981.34142953313,1914.43014842661,7999.98790720851,1.28832868495244,31,0.107101377898745,"heaSWs"
"103","cp_4",7506.38357857348,3000.15166207379,8742.04908588712,1.54729187149432,99,0.513766160807233,"heaSWs"
"113","cp_5",8611.81901113799,7900.0480995763,8895.07900513694,1.4437612751542,95,3.60244787169796,"heaSWs"
