names.bigdf_familynames.,LCC
Abies,coniferous woodland
Acer,deciduous woodland
Achillea,pasture
Aconitum,NA
Aconitum.lycoctonum,NA
Adoxa.moschatellina,deciduous woodland
Alchemilla,pasture
Alisma,water
Alisma.plantago.aquatica,water
Alismataceae,water
Allium,NA
Alnus,wet woodland
Alnus.glutinosa,wet woodland
Alnus.incana,wet woodland
Alnus.viridis,wet woodland
Amaranthaceae,NA
Anagallis.arvensis,NA
Anagallis.tenella,NA
Anemone,deciduous woodland
Anemone.nemorosa,deciduous woodland
Angelica,wet meadow
Anthemis,pasture
Apiaceae,pasture
Arctium,arable
Arctostaphylos,coniferous woodland
Arctostaphylos.uva.ursi,coniferous woodland
Arctous.alpina,heath
Arenaria,pasture
Armeria,pasture
Armeria.Limonium,pasture
Artemisia,arable
Artemisia.norvegica,arable
Asplenium,NA
Aster,pasture
Asteraceae,pasture
Asteroideae,arable
Astragalus.alpinus,NA
Astragalus.frigidus,NA
Astragalus.glycyphyllos,NA
Astragalus.Oxytropis,NA
Athyrium.alpestre,wet woodland
Athyrium.filix.femina,wet woodland
Avena.Triticum,arable
Bassia.laniflora,NA
Betula,deciduous woodland
Betula.Corylus.Myrica,deciduous woodland
Betula.fruticosa,deciduous woodland
Betula.humilis,deciduous woodland
Betula.nana,deciduous woodland
Betula.pendula,deciduous woodland
Betula.pubescens,deciduous woodland
Bistorta,pasture
Bistorta.officinalis,NA
Bistorta.officinalis.B..vivipara,pasture
Bistorta.vivipara,pasture
Blechnum.spicant,wet woodland
Boraginaceae,NA
Botrychium,pasture
Botrychium.lunaria,pasture
Botryococcus,water
Brassica,pasture
Brassicaceae,pasture
Bryales,NA
Callitriche,water
Calluna,heath
Calluna.vulgaris,heath
Caltha,wet meadow
Caltha.palustris,wet meadow
Calystegia,NA
Campanula,pasture
Campanulaceae,pasture
Cannabaceae,arable
Cannabis,arable
Cannabis.sativa,arable
Caprifoliaceae,pasture
Capsella,arable
Carex,wet meadow
Carpinus,deciduous woodland
Carpinus.betulus,deciduous woodland
Carya,NA
Caryophyllaceae,arable
Cassiope,heath
Centaurea.cyanus,arable
Centaurea.jacea,pasture
Centaurea.nigra,pasture
Centaurea.scabiosa,pasture
Cerastium,pasture
Cerastium.cerastoides,NA
Cerastium.fontanum,pasture
Ceratophyllum,water
Cerealia,arable
Chamaenerion,NA
Chrysosplenium,wet woodland
Cichorieae,pasture
Cichorioideae,pasture
Cirsium,pasture
Cirsium.Carduus,pasture
Cladium.mariscus,wet meadow
Convallaria,deciduous woodland
Convallaria.majalis,deciduous woodland
Cornus,deciduous woodland
Cornus.mas.C..suecica,deciduous woodland
Cornus.sanguinea,deciduous woodland
Cornus.suecica,deciduous woodland
Corylus,deciduous woodland
Corylus.avellana,deciduous woodland
Corylus.Myrica,deciduous woodland
Cryptogramma,NA
Cryptogramma.crispa,NA
Cyperaceae,wet meadow
Cyperaceae,wet meadow
Cystopteris.fragilis,NA
dataset_ID,NA
Dianthus,pasture
Diapensia,heath
Diapensia.lapponica,heath
Diphasiastrum,cliff
Diphasiastrum.alpinum,cliff
Diphasiastrum.alpinum.D..complanatum,cliff
Diphasiastrum.complanatum,cliff
Diphasiastrum.tristachyum,cliff
Dipsacoideae,pasture
Drosera,wet meadow
Drosera.anglica,wet meadow
Drosera.intermedia,wet meadow
Drosera.rotundifolia,wet meadow
Drosera.rotundifolia.D..anglica,wet meadow
Droseraceae,wet meadow
Dryas.octopetala,heath
Dryopteris,NA
Dryopteris.carthusiana,NA
Dryopteris.dilatata,NA
Dryopteris.filix.mas,NA
Echium,ruderal
Echium.vulgare,ruderal
Elatine,water
Empetrum,heath
Empetrum.nigrum,heath
Ephedra,NA
Ephedra.distachya,NA
Ephedra.fragilis,NA
Epilobium,NA
Equisetum,wet meadow
Erica.arborea,heath
Erica.cinerea.E..tetralix,heath
Ericaceae,heath
Ericales,heath
Eriophorum,wet meadow
Euphrasia,pasture
Fabaceae,pasture
Fagopyrum,arable
Fagopyrum.esculentum,arable
Fagus,deciduous woodland
Fagus.sylvatica,deciduous woodland
Filipendula,wet meadow
Frangula,wet woodland
Frangula.alnus,wet woodland
Fraxinus,deciduous woodland
Fraxinus.excelsior,deciduous woodland
Galeopsis,arable
Galium,pasture
Gentiana,pasture
Gentiana.campestris,pasture
Gentiana.nivalis,pasture
Gentiana.pneumonanthe,pasture
Gentiana.purpurea,pasture
Gentianaceae,pasture
Gentianella.campestris,pasture
Gentianella.detonsa,pasture
Geraniaceae,pasture
Geranium,pasture
Geranium.sylvaticum,pasture
Geum,pasture
Geum.rivale,pasture
Glaucium,water
Glyceria,water
Gnaphalium,ruderal
Gymnocarpium,NA
Gymnocarpium.dryopteris,NA
Hedera,deciduous woodland
Hedera.helix,deciduous woodland
Helianthemum,pasture
Heracleum,NA
Hippophae,water
Hippophae.rhamnoides,water
Hippuris,water
Hippuris.vulgaris,water
Hordeum,arable
Hottonia.palustris,water
Humulus,arable
Humulus.Cannabis,arable
Humulus.lupulus,arable
Huperzia,coniferous woodland
Huperzia.selago,coniferous woodland
Hydrocharis,water
Hydrocotyle.vulgaris,NA
Hypericum,pasture
Hypericum.calycinum,pasture
Hypericum.perforatum,pasture
Hypericum.pulchrum,pasture
Ilex,deciduous woodland
Iris,water
Isoetes,water
Isoetes.echinospora,water
Isoetes.lacustris,water
Isoetes.setacea,water
Jasione,heath
Jasione.montana,heath
Juglans,arable
Juglans.regia,arable
Juncaceae,wet meadow
Juniperus,heath
Juniperus.communis,heath
Knautia.arvensis,pasture
Krascheninnikovia.ceratoides,NA
Lamiaceae,NA
Larix,deciduous woodland
Lathyrus,pasture
Lemna,water
Lentibulariaceae,wet meadow
Liliaceae,NA
Limosella.aquatica,water
Lingulodinium.machaerophorum,water
Linnaea.borealis,coniferous woodland
Linum.usitatissimum,arable
Listera,NA
Lobelia.dortmanna,water
Lonicera,NA
Lonicera.periclymenum,deciduous woodland
Lonicera.xylosteum,NA
Lotus,wet meadow
Lotus.corniculatus,heath
Lotus.pedunculatus,wet meadow
Lycopodiaceae,NA
Lycopodiella.inundata,water
Lycopodium,coniferous woodland
Lycopodium.annotinum,coniferous woodland
Lycopodium.clavatum,NA
Lycopsis.arvensis,arable
Lysimachia,NA
Lysimachia.vulgaris,wet woodland
Lythrum,water
Lythrum.salicaria,water
Maianthemum,NA
Malvaceae,NA
Matteuccia,wet woodland
Matteuccia.struthiopteris,wet woodland
meantimes,NA
Melampyrum,coniferous woodland
Mentha,NA
Menyanthes.trifoliata,wet meadow
Mercurialis,deciduous woodland
Mercurialis.perennis,deciduous woodland
Micranthes.nivalis,deciduous woodland
Micranthes.nivalis.M..tenuis,deciduous woodland
Micranthes.stellaris,wet meadow
Monotropa,NA
Myrica,water
Myrica.gale,water
Myricaria,water
Myricaria.germanica,water
Myriophyllum,water
Myriophyllum.alterniflorum,water
Myriophyllum.spicatum,water
