"Equation","Excluded","F","df1","df2","p.F","sig.F","Chisq","df","p.Chisq","sig.Chisq","Causality"
"heaSMs","SPD",0.131886390923349,1,40,0.718396334184901,"   ",0.131886390923349,1,0.716484126513717,"   ","heaSMs <= SPD"
"heaSMs","clim",0.0426193254398783,1,40,0.837490978533843,"   ",0.0426193254398783,1,0.836443725037669,"   ","heaSMs <= clim"
"heaSMs","SPD|clim",0.0918817252608377,2,40,0.912404995776742,"   ",0.183763450521675,2,0.912213034923673,"   ","heaSMs <= SPD|clim"
"araSMs","SPD",2.28770449935429,1,40,0.138264107112914,"   ",2.28770449935429,1,0.130402658108946,"   ","araSMs <= SPD"
"araSMs","clim",1.72392710014018,1,40,0.196671308236479,"   ",1.72392710014018,1,0.189188324801285,"   ","araSMs <= clim"
"araSMs","SPD|clim",1.63744367970253,2,40,0.207243493304517,"   ",3.27488735940505,2,0.194476551758539,"   ","araSMs <= SPD|clim"
"pasSMs","SPD",2.38643078173922,1,40,0.130268503909584,"   ",2.38643078173922,1,0.122392788029738,"   ","pasSMs <= SPD"
"pasSMs","clim",2.69507473980344,1,40,0.10849923194927,"   ",2.69507473980344,1,0.100658768872782,"   ","pasSMs <= clim"
"pasSMs","SPD|clim",2.21951469105375,2,40,0.121873289254882,"   ",4.43902938210751,2,0.108661830589252,"   ","pasSMs <= SPD|clim"
"wetmSMs","SPD",3.03371903505213,2,36,0.0605920799582471,".  ",6.06743807010426,2,0.0481362842926311,"*  ","wetmSMs <= SPD"
"wetmSMs","clim",0.00204971653368353,2,36,0.997952499156758,"   ",0.00409943306736707,2,0.997952382700727,"   ","wetmSMs <= clim"
"wetmSMs","SPD|clim",1.56452448298128,4,36,0.204747353131202,"   ",6.25809793192512,4,0.180684681136783,"   ","wetmSMs <= SPD|clim"
"wetwSMs","SPD",1.16698270658567,3,32,0.337590673113348,"   ",3.500948119757,3,0.320639173671058,"   ","wetwSMs <= SPD"
"wetwSMs","clim",2.34024524881545,3,32,0.0919093600944212,".  ",7.02073574644635,3,0.0712397822550682,".  ","wetwSMs <= clim"
"wetwSMs","SPD|clim",1.83066830788962,6,32,0.124354948103634,"   ",10.9840098473377,6,0.0888718863187671,".  ","wetwSMs <= SPD|clim"
"decSMs","SPD",3.07711451227477,1,40,0.087060473230435,".  ",3.07711451227477,1,0.0794012783802027,".  ","decSMs <= SPD"
"decSMs","clim",0.0525949860669795,1,40,0.819776436519852,"   ",0.0525949860669795,1,0.818607800166889,"   ","decSMs <= clim"
"decSMs","SPD|clim",1.69299514813298,2,40,0.196883595055909,"   ",3.38599029626595,2,0.183967687513744,"   ","decSMs <= SPD|clim"
"conSMs","SPD",1.84664386430986,1,40,0.181787825206133,"   ",1.84664386430986,1,0.17417423787591,"   ","conSMs <= SPD"
"conSMs","clim",1.30485204762748,1,40,0.260120586709031,"   ",1.30485204762748,1,0.253328839701011,"   ","conSMs <= clim"
"conSMs","SPD|clim",1.30051358538124,2,40,0.283660205343563,"   ",2.60102717076248,2,0.272391860625882,"   ","conSMs <= SPD|clim"
"heaSWs","SPD",2.71064652106072,1,48,0.106213428973642,"   ",2.71064652106072,1,0.099680585751901,".  ","heaSWs <= SPD"
"heaSWs","clim",2.95593834199931,1,48,0.0920060367818308,".  ",2.95593834199931,1,0.085562625886707,".  ","heaSWs <= clim"
"heaSWs","SPD|clim",2.62452521422148,2,48,0.0828523584813623,".  ",5.24905042844296,2,0.0724741585667238,".  ","heaSWs <= SPD|clim"
"araSWs","SPD",0.00104471235079569,1,48,0.974349286442379,"   ",0.00104471235079569,1,0.974215256680426,"   ","araSWs <= SPD"
"araSWs","clim",0.00257450691263806,1,48,0.95974358367801,"   ",0.00257450691263806,1,0.959533021786806,"   ","araSWs <= clim"
"araSWs","SPD|clim",0.00162128799251334,2,48,0.998380080255673,"   ",0.00324257598502667,2,0.998380025584872,"   ","araSWs <= SPD|clim"
"pasSWs","SPD",1.42938767949458,3,40,0.24843524095929,"   ",4.28816303848375,3,0.231981989215983,"   ","pasSWs <= SPD"
"pasSWs","clim",0.684410256988315,3,40,0.56683470032502,"   ",2.05323077096495,3,0.561432283961147,"   ","pasSWs <= clim"
"pasSWs","SPD|clim",1.00788518303826,6,40,0.433870164303742,"   ",6.04731109822956,6,0.417911198165437,"   ","pasSWs <= SPD|clim"
